dn_id,dn_name,in_id,in_name,mn_id,mn_name,muscle,dn_in_synapses,in_mn_synapses,pathway_strength
720575941471808375,DNxn125,720575941583601886,IN12A012,720575941468897856,i1,i1,29,48,1392
720575941471808375,DNxn125,720575941583601886,IN12A012,720575941468897856,i1,i1,29,34,986
720575941471808375,DNxn125,720575941583601886,IN12A012,720575941474574132,b3,b3,29,25,725
720575941471808375,DNxn125,720575941583601886,IN12A012,720575941474574132,b3,b3,29,62,1798
720575941471808375,DNxn125,720575941583601886,IN12A012,720575941475745898,i2,i2,29,31,899
720575941471808375,DNxn125,720575941583601886,IN12A012,720575941475745898,i2,i2,29,51,1479
720575941471808375,DNxn125,720575941583601886,IN12A012,720575941468897856,i1,i1,83,48,3984
720575941471808375,DNxn125,720575941583601886,IN12A012,720575941468897856,i1,i1,83,34,2822
720575941471808375,DNxn125,720575941583601886,IN12A012,720575941474574132,b3,b3,83,25,2075
720575941471808375,DNxn125,720575941583601886,IN12A012,720575941474574132,b3,b3,83,62,5146
720575941471808375,DNxn125,720575941583601886,IN12A012,720575941475745898,i2,i2,83,31,2573
720575941471808375,DNxn125,720575941583601886,IN12A012,720575941475745898,i2,i2,83,51,4233
720575941472160011,DNp73,720575941456348575,IN18B020,720575941456201887,hg1,hg1,34,39,1326
720575941472160011,DNp73,720575941456348575,IN18B020,720575941459347411,iii4,iii4,34,48,1632
720575941472160011,DNp73,720575941456348575,IN18B020,720575941630940642,hg4,hg4,34,61,2074
720575941472160011,DNp73,720575941593615211,IN14B007,720575941516770670,iii4,iii4,76,25,1900
720575941472160011,DNp73,720575941593615211,IN14B007,720575941516770670,iii4,iii4,76,47,3572
720575941472160011,DNp73,720575941593615211,IN14B007,720575941580669817,hg1,hg1,76,40,3040
720575941472160011,DNp73,720575941593615211,IN14B007,720575941580669817,hg1,hg1,76,54,4104
720575941472160011,DNp73,720575941608991050,w-cHIN,720575941521196211,b1,b1,31,31,961
720575941472160011,DNp73,720575941608991050,w-cHIN,720575941624155644,b2,b2,31,29,899
720575941474063968,DNxn163,720575941457802480,IN12B015,720575941516770670,iii4,iii4,62,26,1612
720575941475448123,DNxn159,720575941615272601,IN06B028,720575941547394081,i2,i2,32,26,832
720575941477013825,DNg04,720575941611080010,IN06A002,720575941565378919,iii3,iii3,31,231,7161
720575941477013825,DNg04,720575941611080010,IN06A002,720575941565378919,iii3,iii3,31,46,1426
720575941478585450,DNp22,720575941457147206,IN18B020,720575941513173763,hg4,hg4,33,66,2178
720575941478585450,DNp22,720575941457147206,IN18B020,720575941516770670,iii4,iii4,33,32,1056
720575941478585450,DNp22,720575941457147206,IN18B020,720575941549822781,b1,b1,33,25,825
720575941478585450,DNp22,720575941457147206,IN18B020,720575941580669817,hg1,hg1,33,40,1320
720575941478585450,DNp22,720575941465484566,w-cHIN,720575941655597785,b2,b2,31,37,1147
720575941478585450,DNp22,720575941572251144,w-cHIN,720575941549822781,b1,b1,33,25,825
720575941478585450,DNp22,720575941572251144,w-cHIN,720575941549822781,b1,b1,30,25,750
720575941486700098,DNa05,720575941501721138,w-cHIN,720575941565378919,iii3,iii3,34,51,1734
720575941491972327,DNge084,720575941456348575,IN18B020,720575941456201887,hg1,hg1,74,39,2886
720575941491972327,DNge084,720575941456348575,IN18B020,720575941459347411,iii4,iii4,74,48,3552
720575941491972327,DNge084,720575941456348575,IN18B020,720575941630940642,hg4,hg4,74,61,4514
720575941491972327,DNge084,720575941477884802,IN18B020,720575941456201887,hg1,hg1,68,27,1836
720575941491972327,DNge084,720575941477884802,IN18B020,720575941456201887,hg1,hg1,68,29,1972
720575941491972327,DNge084,720575941477884802,IN18B020,720575941624155644,b2,b2,68,26,1768
720575941492697264,DNp28,720575941593615211,IN14B007,720575941516770670,iii4,iii4,30,25,750
720575941492697264,DNp28,720575941593615211,IN14B007,720575941516770670,iii4,iii4,30,47,1410
720575941492697264,DNp28,720575941593615211,IN14B007,720575941580669817,hg1,hg1,30,40,1200
720575941492697264,DNp28,720575941593615211,IN14B007,720575941580669817,hg1,hg1,30,54,1620
720575941493998464,DNnt010,720575941579868917,IN03B022,720575941630940642,hg4,hg4,43,46,1978
720575941493998464,DNnt010,720575941579868917,IN03B022,720575941630940642,hg4,hg4,43,33,1419
720575941496011719,DNa16,720575941400818723,IN14B007,720575941513173763,hg4,hg4,72,36,2592
720575941496011719,DNa16,720575941400818723,IN14B007,720575941580669817,hg1,hg1,72,26,1872
720575941496011719,DNa16,720575941523112439,IN06A004,720575941513173763,hg4,hg4,38,27,1026
720575941496011719,DNa16,720575941523112439,IN06A004,720575941580669817,hg1,hg1,38,29,1102
720575941496011719,DNa16,720575941550878087,w-cHIN,720575941458961604,iii3,iii3,113,55,6215
720575941496011719,DNa16,720575941579868917,IN03B022,720575941630940642,hg4,hg4,63,46,2898
720575941496011719,DNa16,720575941579868917,IN03B022,720575941630940642,hg4,hg4,63,33,2079
720575941496011719,DNa16,720575941611080010,IN06A002,720575941565378919,iii3,iii3,98,231,22638
720575941496011719,DNa16,720575941611080010,IN06A002,720575941565378919,iii3,iii3,98,46,4508
720575941496011719,DNa16,720575941678358973,w-cHIN,720575941458961604,iii3,iii3,104,32,3328
720575941496676295,DNa06,720575941477297716,IN06B040,720575941630940642,hg4,hg4,39,32,1248
720575941496676295,DNa06,720575941525725954,IN06B040,720575941630940642,hg4,hg4,25,27,675
720575941503549931,DNg71,720575941457147206,IN18B020,720575941513173763,hg4,hg4,25,66,1650
720575941503549931,DNg71,720575941457147206,IN18B020,720575941516770670,iii4,iii4,25,32,800
720575941503549931,DNg71,720575941457147206,IN18B020,720575941549822781,b1,b1,25,25,625
720575941503549931,DNg71,720575941457147206,IN18B020,720575941580669817,hg1,hg1,25,40,1000
720575941504328791,DNpe005,720575941583588830,IN19B033,720575941580669817,hg1,hg1,42,25,1050
720575941504328791,DNpe005,720575941583588830,IN19B033,720575941580669817,hg1,hg1,42,37,1554
720575941504652482,DNxn124,720575941623108298,IN13A013,720575941472734048,DVM1a-c,DVM1A,30,39,1170
720575941504652482,DNxn124,720575941623108298,IN13A013,720575941603635190,DVM1a-c,DVM1A,30,32,960
720575941504652482,DNxn124,720575941623108298,IN13A013,720575941643100754,ps1,ps1,30,96,2880
720575941504652482,DNxn124,720575941623108298,IN13A013,720575941643100754,ps1,ps1,30,182,5460
720575941504652482,DNxn124,720575941623108298,IN13A013,720575941645041313,ps1,ps1,30,26,780
720575941504652482,DNxn124,720575941623108298,IN13A013,720575941645041313,ps1,ps1,30,52,1560
720575941504652482,DNxn124,720575941623108298,IN13A013,720575941645041313,ps1,ps1,30,47,1410
720575941504652482,DNxn124,720575941623108298,IN13A013,720575941472734048,DVM1a-c,DVM1A,32,39,1248
720575941504652482,DNxn124,720575941623108298,IN13A013,720575941603635190,DVM1a-c,DVM1A,32,32,1024
720575941504652482,DNxn124,720575941623108298,IN13A013,720575941643100754,ps1,ps1,32,96,3072
720575941504652482,DNxn124,720575941623108298,IN13A013,720575941643100754,ps1,ps1,32,182,5824
720575941504652482,DNxn124,720575941623108298,IN13A013,720575941645041313,ps1,ps1,32,26,832
720575941504652482,DNxn124,720575941623108298,IN13A013,720575941645041313,ps1,ps1,32,52,1664
720575941504652482,DNxn124,720575941623108298,IN13A013,720575941645041313,ps1,ps1,32,47,1504
720575941504652482,DNxn124,720575941671138727,IN13A013,720575941565105206,DVM1a-c,DVM1A,25,46,1150
720575941504652482,DNxn124,720575941671138727,IN13A013,720575941566847847,DVM1a-c,DVM1A,25,25,625
720575941504652482,DNxn124,720575941671138727,IN13A013,720575941643100754,ps1,ps1,25,41,1025
720575941504652482,DNxn124,720575941671138727,IN13A013,720575941643100754,ps1,ps1,25,36,900
720575941504652482,DNxn124,720575941671138727,IN13A013,720575941643100754,ps1,ps1,25,34,850
720575941504652482,DNxn124,720575941671138727,IN13A013,720575941645041313,ps1,ps1,25,64,1600
720575941504652482,DNxn124,720575941671138727,IN13A013,720575941645041313,ps1,ps1,25,157,3925
720575941504652482,DNxn124,720575941671138727,IN13A013,720575941565105206,DVM1a-c,DVM1A,35,46,1610
720575941504652482,DNxn124,720575941671138727,IN13A013,720575941566847847,DVM1a-c,DVM1A,35,25,875
720575941504652482,DNxn124,720575941671138727,IN13A013,720575941643100754,ps1,ps1,35,41,1435
720575941504652482,DNxn124,720575941671138727,IN13A013,720575941643100754,ps1,ps1,35,36,1260
720575941504652482,DNxn124,720575941671138727,IN13A013,720575941643100754,ps1,ps1,35,34,1190
720575941504652482,DNxn124,720575941671138727,IN13A013,720575941645041313,ps1,ps1,35,64,2240
720575941504652482,DNxn124,720575941671138727,IN13A013,720575941645041313,ps1,ps1,35,157,5495
720575941505673566,DNg82,720575941503451301,w-cHIN,720575941624155644,b2,b2,33,44,1452
720575941507568709,DNa16,720575941429556655,IN14B007,720575941630940642,hg4,hg4,93,57,5301
720575941507568709,DNa16,720575941464768790,IN06A004,720575941630940642,hg4,hg4,52,30,1560
720575941507568709,DNa16,720575941496830370,w-cHIN,720575941565378919,iii3,iii3,75,58,4350
720575941507568709,DNa16,720575941501721138,w-cHIN,720575941565378919,iii3,iii3,84,51,4284
720575941507568709,DNa16,720575941528944568,IN06A002,720575941458961604,iii3,iii3,51,154,7854
720575941507568709,DNa16,720575941528944568,IN06A002,720575941458961604,iii3,iii3,51,53,2703
720575941507568709,DNa16,720575941528944568,IN06A002,720575941565378919,iii3,iii3,51,41,2091
720575941508492417,DNg71,720575941456348575,IN18B020,720575941456201887,hg1,hg1,32,39,1248
720575941508492417,DNg71,720575941456348575,IN18B020,720575941459347411,iii4,iii4,32,48,1536
720575941508492417,DNg71,720575941456348575,IN18B020,720575941630940642,hg4,hg4,32,61,1952
720575941509010305,DNxn151,720575941436996882,IN18B039,720575941456201887,hg1,hg1,25,41,1025
720575941509010305,DNxn151,720575941436996882,IN18B039,720575941456201887,hg1,hg1,25,25,625
720575941509010305,DNxn151,720575941436996882,IN18B039,720575941459347411,iii4,iii4,25,32,800
720575941510475536,DNa02,720575941550878087,w-cHIN,720575941458961604,iii3,iii3,26,55,1430
720575941510475536,DNa02,720575941678358973,w-cHIN,720575941458961604,iii3,iii3,35,32,1120
720575941510642192,DNa10,720575941671138727,IN13A013,720575941565105206,DVM1a-c,DVM1A,26,46,1196
720575941510642192,DNa10,720575941671138727,IN13A013,720575941566847847,DVM1a-c,DVM1A,26,25,650
720575941510642192,DNa10,720575941671138727,IN13A013,720575941643100754,ps1,ps1,26,41,1066
720575941510642192,DNa10,720575941671138727,IN13A013,720575941643100754,ps1,ps1,26,36,936
720575941510642192,DNa10,720575941671138727,IN13A013,720575941643100754,ps1,ps1,26,34,884
720575941510642192,DNa10,720575941671138727,IN13A013,720575941645041313,ps1,ps1,26,64,1664
720575941510642192,DNa10,720575941671138727,IN13A013,720575941645041313,ps1,ps1,26,157,4082
720575941513096012,DNnt015,720575941429556655,IN14B007,720575941630940642,hg4,hg4,28,57,1596
720575941514949881,DNnt017,720575941579868917,IN03B022,720575941630940642,hg4,hg4,67,46,3082
720575941514949881,DNnt017,720575941579868917,IN03B022,720575941630940642,hg4,hg4,67,33,2211
720575941515972698,DNg99,720575941572251144,w-cHIN,720575941549822781,b1,b1,33,25,825
720575941515972698,DNg99,720575941572251144,w-cHIN,720575941549822781,b1,b1,34,25,850
720575941515972698,DNg99,720575941671138727,IN13A013,720575941565105206,DVM1a-c,DVM1A,51,46,2346
720575941515972698,DNg99,720575941671138727,IN13A013,720575941566847847,DVM1a-c,DVM1A,51,25,1275
720575941515972698,DNg99,720575941671138727,IN13A013,720575941643100754,ps1,ps1,51,41,2091
720575941515972698,DNg99,720575941671138727,IN13A013,720575941643100754,ps1,ps1,51,36,1836
720575941515972698,DNg99,720575941671138727,IN13A013,720575941643100754,ps1,ps1,51,34,1734
720575941515972698,DNg99,720575941671138727,IN13A013,720575941645041313,ps1,ps1,51,64,3264
720575941515972698,DNg99,720575941671138727,IN13A013,720575941645041313,ps1,ps1,51,157,8007
720575941527162905,DNb05,720575941457802480,IN12B015,720575941516770670,iii4,iii4,39,26,1014
720575941533704067,DNp31,720575941527099981,IN06B013,720575941643100754,ps1,ps1,27,45,1215
720575941533704067,DNp31,720575941527099981,IN06B013,720575941643100754,ps1,ps1,27,202,5454
720575941534222770,DNp15,720575941579868917,IN03B022,720575941630940642,hg4,hg4,44,46,2024
720575941534222770,DNp15,720575941579868917,IN03B022,720575941630940642,hg4,hg4,44,33,1452
720575941535258802,DNxn155,720575941640900453,IN06B019,720575941629172716,iii1,iii1,37,27,999
720575941535258802,DNxn155,720575941640900453,IN06B019,720575941629172716,iii1,iii1,37,26,962
720575941536003314,DNg10,720575941579868917,IN03B022,720575941630940642,hg4,hg4,26,46,1196
720575941536003314,DNg10,720575941579868917,IN03B022,720575941630940642,hg4,hg4,26,33,858
720575941536972018,DNg32,720575941614850517,IN19A026,720575941468897856,i1,i1,27,100,2700
720575941536972018,DNg32,720575941614850517,IN19A026,720575941474574132,b3,b3,27,148,3996
720575941536972018,DNg32,720575941614850517,IN19A026,720575941474574132,b3,b3,27,30,810
720575941540246364,DNxn125,720575941553338778,IN12A012,720575941542412805,b3,b3,25,66,1650
720575941540246364,DNxn125,720575941553338778,IN12A012,720575941547315060,i1,i1,25,25,625
720575941540246364,DNxn125,720575941553338778,IN12A012,720575941547315060,i1,i1,25,38,950
720575941540246364,DNxn125,720575941553338778,IN12A012,720575941547315060,i1,i1,25,40,1000
720575941540246364,DNxn125,720575941553338778,IN12A012,720575941547394081,i2,i2,25,32,800
720575941540246364,DNxn125,720575941553338778,IN12A012,720575941542412805,b3,b3,47,66,3102
720575941540246364,DNxn125,720575941553338778,IN12A012,720575941547315060,i1,i1,47,25,1175
720575941540246364,DNxn125,720575941553338778,IN12A012,720575941547315060,i1,i1,47,38,1786
720575941540246364,DNxn125,720575941553338778,IN12A012,720575941547315060,i1,i1,47,40,1880
720575941540246364,DNxn125,720575941553338778,IN12A012,720575941547394081,i2,i2,47,32,1504
720575941540246364,DNxn125,720575941553338778,IN12A012,720575941542412805,b3,b3,37,66,2442
720575941540246364,DNxn125,720575941553338778,IN12A012,720575941547315060,i1,i1,37,25,925
720575941540246364,DNxn125,720575941553338778,IN12A012,720575941547315060,i1,i1,37,38,1406
720575941540246364,DNxn125,720575941553338778,IN12A012,720575941547315060,i1,i1,37,40,1480
720575941540246364,DNxn125,720575941553338778,IN12A012,720575941547394081,i2,i2,37,32,1184
720575941540246364,DNxn125,720575941583601886,IN12A012,720575941468897856,i1,i1,31,48,1488
720575941540246364,DNxn125,720575941583601886,IN12A012,720575941468897856,i1,i1,31,34,1054
720575941540246364,DNxn125,720575941583601886,IN12A012,720575941474574132,b3,b3,31,25,775
720575941540246364,DNxn125,720575941583601886,IN12A012,720575941474574132,b3,b3,31,62,1922
720575941540246364,DNxn125,720575941583601886,IN12A012,720575941475745898,i2,i2,31,31,961
720575941540246364,DNxn125,720575941583601886,IN12A012,720575941475745898,i2,i2,31,51,1581
720575941540466381,DNp08,720575941611914669,IN02A010,720575941489673420,iii1,iii1,32,195,6240
720575941552603966,DNp19,720575941456348575,IN18B020,720575941456201887,hg1,hg1,30,39,1170
720575941552603966,DNp19,720575941456348575,IN18B020,720575941459347411,iii4,iii4,30,48,1440
720575941552603966,DNp19,720575941456348575,IN18B020,720575941630940642,hg4,hg4,30,61,1830
720575941552603966,DNp19,720575941457147206,IN18B020,720575941513173763,hg4,hg4,30,66,1980
720575941552603966,DNp19,720575941457147206,IN18B020,720575941516770670,iii4,iii4,30,32,960
720575941552603966,DNp19,720575941457147206,IN18B020,720575941549822781,b1,b1,30,25,750
720575941552603966,DNp19,720575941457147206,IN18B020,720575941580669817,hg1,hg1,30,40,1200
720575941552726407,DNg99,720575941503451301,w-cHIN,720575941624155644,b2,b2,26,44,1144
720575941552726407,DNg99,720575941608991050,w-cHIN,720575941521196211,b1,b1,37,31,1147
720575941552726407,DNg99,720575941608991050,w-cHIN,720575941624155644,b2,b2,37,29,1073
720575941552726407,DNg99,720575941623108298,IN13A013,720575941472734048,DVM1a-c,DVM1A,40,39,1560
720575941552726407,DNg99,720575941623108298,IN13A013,720575941603635190,DVM1a-c,DVM1A,40,32,1280
720575941552726407,DNg99,720575941623108298,IN13A013,720575941643100754,ps1,ps1,40,96,3840
720575941552726407,DNg99,720575941623108298,IN13A013,720575941643100754,ps1,ps1,40,182,7280
720575941552726407,DNg99,720575941623108298,IN13A013,720575941645041313,ps1,ps1,40,26,1040
720575941552726407,DNg99,720575941623108298,IN13A013,720575941645041313,ps1,ps1,40,52,2080
720575941552726407,DNg99,720575941623108298,IN13A013,720575941645041313,ps1,ps1,40,47,1880
720575941552726407,DNg99,720575941623108298,IN13A013,720575941472734048,DVM1a-c,DVM1A,37,39,1443
720575941552726407,DNg99,720575941623108298,IN13A013,720575941603635190,DVM1a-c,DVM1A,37,32,1184
720575941552726407,DNg99,720575941623108298,IN13A013,720575941643100754,ps1,ps1,37,96,3552
