source,target,weight,neuropil,nt_type
720575941518434227,720575941519783640,78,VNC_WTct_L,
720575941518434227,720575941534583786,72,VNC_WTct_L,
720575941518434227,720575941565105206,27,VNC_WTct_L,
720575941518434227,720575941566847847,37,VNC_WTct_L,
720575941518434227,720575941640465439,74,VNC_WTct_L,
720575941518434227,720575941645403000,91,VNC_WTct_L,
720575941518439347,720575941596050112,44,VNC_WTct_R,
720575941519213016,720575941463144336,35,VNC_WTct_L,
720575941519213016,720575941479034563,26,VNC_WTct_R,
720575941519213016,720575941507955269,50,VNC_WTct_L,
720575941519213016,720575941519783640,41,VNC_WTct_L,
720575941519213016,720575941533190337,42,VNC_WTct_L,
720575941519213016,720575941534583786,55,VNC_WTct_L,
720575941519213016,720575941583644382,31,VNC_WTct_L,
720575941519213016,720575941640465439,32,VNC_WTct_L,
720575941519213016,720575941645403000,45,VNC_WTct_L,
720575941519273944,720575941475745898,39,VNC_WTct_R,
720575941520064435,720575941643100754,35,VNC_HTct_R,
720575941520255223,720575941475745898,39,VNC_WTct_R,
720575941520331511,720575941474574132,52,VNC_WTct_R,
720575941521069751,720575941456201887,32,VNC_IntTct_L,
720575941521069751,720575941459347411,45,VNC_WTct_L,
720575941521101495,720575941489673420,118,VNC_WTct_L,
720575941521508939,720575941643100754,44,VNC_HTct_R,
720575941521986227,720575941468288375,25,VNC_WTct_R,
720575941521986227,720575941547394081,43,VNC_IntTct_L,
720575941522089463,720575941468897856,52,VNC_IntTct_R,
720575941522089463,720575941475745898,34,VNC_IntTct_R,
720575941522089463,720575941547315060,37,VNC_IntTct_L,
720575941523052279,720575941542412805,29,VNC_WTct_L,
720575941523100491,720575941468897856,33,VNC_IntTct_R,
