dn_id,dn_name,has_direct,direct_target_mns,direct_synapses,has_indirect,indirect_target_ins,indirect_reachable_mns,indirect_synapses,category,total_synapses
720575941489083596,DNg02,True,2.0,24.0,True,1,2,16,both,40.0
720575941595376677,DNxn143,False,0.0,0.0,True,1,2,40,indirect_only,40.0
720575941691021720,DNg89,False,0.0,0.0,True,1,1,39,indirect_only,39.0
720575941513811532,DNxn173,False,0.0,0.0,True,1,2,39,indirect_only,39.0
720575941652085745,DNxn143,False,0.0,0.0,True,1,2,39,indirect_only,39.0
720575941530295013,DNg49,False,0.0,0.0,True,2,1,39,indirect_only,39.0
720575941537820658,DNge095,False,0.0,0.0,True,2,2,38,indirect_only,38.0
720575941562192429,DNge090,False,0.0,0.0,True,2,3,38,indirect_only,38.0
720575941515630947,DNp12,False,0.0,0.0,True,3,4,37,indirect_only,37.0
720575941430607753,DNg111,False,0.0,0.0,True,3,7,36,indirect_only,36.0
720575941582282873,DNg08,False,0.0,0.0,True,2,4,35,indirect_only,35.0
720575941572620446,DNb03,False,0.0,0.0,True,2,4,35,indirect_only,35.0
720575941482535366,DNg01,False,0.0,0.0,True,2,2,34,indirect_only,34.0
720575941700293082,DNg06,False,0.0,0.0,True,2,13,34,indirect_only,34.0
720575941441633883,DNge049,False,0.0,0.0,True,3,19,34,indirect_only,34.0
720575941537850600,DNp54,False,0.0,0.0,True,3,5,33,indirect_only,33.0
720575941441162191,DNg36,False,0.0,0.0,True,1,4,33,indirect_only,33.0
720575941653831185,DNxl092,False,0.0,0.0,True,1,1,33,indirect_only,33.0
720575941581684601,DNa06,False,0.0,0.0,True,1,1,33,indirect_only,33.0
720575941550687805,DNge050,False,0.0,0.0,True,1,1,33,indirect_only,33.0
720575941571871241,DNge091,False,0.0,0.0,True,2,6,33,indirect_only,33.0
720575941668513011,DNp11,False,0.0,0.0,True,1,4,33,indirect_only,33.0
720575941470033117,DNbe003,False,0.0,0.0,True,1,1,32,indirect_only,32.0
720575941640505375,DNge035,False,0.0,0.0,True,2,1,32,indirect_only,32.0
720575941467587606,DNxn175,False,0.0,0.0,True,2,4,32,indirect_only,32.0
720575941487149378,DNp42,False,0.0,0.0,True,2,5,32,indirect_only,32.0
720575941526955266,DNge006,False,0.0,0.0,True,3,6,32,indirect_only,32.0
720575941523074295,DNp16,False,0.0,0.0,True,2,2,32,indirect_only,32.0
720575941562981522,DNxn114,False,0.0,0.0,True,2,7,31,indirect_only,31.0
720575941658936144,DNp69,False,0.0,0.0,True,2,3,31,indirect_only,31.0
720575941613418716,DNnt020,False,0.0,0.0,True,2,3,31,indirect_only,31.0
720575941510621968,DNxl127,False,0.0,0.0,True,3,3,31,indirect_only,31.0
720575941486587714,DNp17,False,0.0,0.0,True,2,3,31,indirect_only,31.0
720575941628237625,DNxl111,False,0.0,0.0,True,1,1,31,indirect_only,31.0
720575941634269371,DNg59,False,0.0,0.0,True,1,2,31,indirect_only,31.0
720575941528849848,DNg08,True,1.0,21.0,True,1,2,10,both,31.0
720575941592644054,DNge091,False,0.0,0.0,True,1,3,31,indirect_only,31.0
720575941633911227,DNpe004,False,0.0,0.0,True,2,4,31,indirect_only,31.0
720575941595590951,DNae005,False,0.0,0.0,True,1,1,31,indirect_only,31.0
720575941456625567,DNg90,False,0.0,0.0,True,1,1,30,indirect_only,30.0
720575941558189171,DNg07,False,0.0,0.0,True,2,7,30,indirect_only,30.0
720575941460902157,DNg07,False,0.0,0.0,True,2,6,30,indirect_only,30.0
720575941409225902,DNxn181,False,0.0,0.0,True,2,11,30,indirect_only,30.0
720575941515917667,DNg07,False,0.0,0.0,True,2,6,29,indirect_only,29.0
720575941481985475,DNp69,False,0.0,0.0,True,2,5,29,indirect_only,29.0
720575941574140169,DNxl103,False,0.0,0.0,True,1,1,29,indirect_only,29.0
720575941507241495,DNfl026,False,0.0,0.0,True,1,1,29,indirect_only,29.0
720575941515152195,DNpe006,False,0.0,0.0,True,2,2,28,indirect_only,28.0
720575941513096012,DNnt015,False,0.0,0.0,True,1,2,28,indirect_only,28.0
720575941561743872,DNg37,False,0.0,0.0,True,2,10,28,indirect_only,28.0
720575941485358733,DNxn114,False,0.0,0.0,True,2,4,28,indirect_only,28.0
720575941518404974,DNpe039,False,0.0,0.0,True,2,1,28,indirect_only,28.0
720575941441974479,DNg02,True,1.0,16.0,True,1,2,12,both,28.0
720575941439563583,DNge053,False,0.0,0.0,True,2,2,28,indirect_only,28.0
720575941438445330,DNpe032,False,0.0,0.0,True,1,2,27,indirect_only,27.0
720575941578499673,DNge118,False,0.0,0.0,True,2,3,27,indirect_only,27.0
720575941447973140,DNb02,False,0.0,0.0,True,2,5,27,indirect_only,27.0
720575941436259602,DNut047,True,1.0,12.0,True,1,6,14,both,26.0
720575941536003314,DNg10,False,0.0,0.0,True,1,1,26,indirect_only,26.0
720575941477419828,DNxn152,False,0.0,0.0,True,2,2,26,indirect_only,26.0
720575941535862506,DNa01,False,0.0,0.0,True,1,2,26,indirect_only,26.0
720575941490416181,DNg93,True,1.0,25.0,False,0,0,0,direct_only,25.0
720575941497322880,DNp10,False,0.0,0.0,True,1,1,25,indirect_only,25.0
720575941631028962,DNge063,False,0.0,0.0,True,1,1,25,indirect_only,25.0
720575941494986951,DNg02,True,2.0,25.0,False,0,0,0,direct_only,25.0
720575941526954498,DNut051,True,1.0,10.0,True,1,3,14,both,24.0
720575941408639535,DNge148,True,2.0,24.0,False,0,0,0,direct_only,24.0
720575941477099313,DNge076,False,0.0,0.0,True,1,1,24,indirect_only,24.0
720575941477915700,DNp48,False,0.0,0.0,True,1,4,24,indirect_only,24.0
720575941604585662,DNg106,False,0.0,0.0,True,1,2,24,indirect_only,24.0
720575941546668988,DNpe053,True,2.0,24.0,False,0,0,0,direct_only,24.0
720575941658941264,DNxl080,False,0.0,0.0,True,2,3,24,indirect_only,24.0
720575941514358675,DNg51,False,0.0,0.0,True,2,2,23,indirect_only,23.0
720575941619883135,DNpe031,False,0.0,0.0,True,1,1,23,indirect_only,23.0
720575941566180199,DNg89,False,0.0,0.0,True,2,4,23,indirect_only,23.0
720575941518951091,DNg36,False,0.0,0.0,True,2,5,23,indirect_only,23.0
