interneuron_id,neuron_name,cluster,function,is_hub,degree_centrality,betweenness_centrality,n_target_mns,total_synapses,avg_shrec,max_shrec,hub_score,cluster_score,shrec_score_norm,connectivity_score,composite_score,rank
720575941612696934,IN19B040,3,power_control,True,0.2827496757457847,0.004703120243294502,18,185,0.9907941756495455,1.911764705882353,42.07244973322405,100,16.881307618089906,52.94117647058824,52.43029711860734,23
720575941561308818,IN19B043,1,power_control,True,0.29961089494163423,0.006154939535746868,16,413,0.8720748943722916,1.5792442188381277,45.294618767737575,100,14.408482228123152,47.05882352941176,51.60227089323441,24
720575941460235152,IN19B043,1,power_control,True,0.3009079118028534,0.006021118408883865,16,403,0.8871992358272368,1.4777238641376267,45.392988731093375,100,14.097529401983572,47.05882352941176,51.55404367570626,25
720575941439197269,IN12A052,3,power_control,True,0.2607003891050583,0.0037546026835496883,16,151,0.979824560837931,1.911764705882353,38.437325943996505,100,16.786492192176013,47.05882352941176,50.139585537125306,26
720575941408509867,IN18B034,1,power_control,True,0.29182879377431903,0.006167708716765589,16,272,0.623188412222086,0.9485094850948509,44.223257466870706,100,9.513136236328036,47.05882352941176,50.05702600502557,27
720575941611056714,IN12A052,3,power_control,True,0.25940337224383914,0.0036590017218646425,15,114,0.8906287942355632,2.006172839506173,38.19925664047709,100,16.42626884415267,44.11764705882353,49.389873614946,28
720575941519213016,IN01A020,1,power_control,True,0.26588845654993515,0.004057478586210045,16,457,0.8107420936793612,1.1804384485666104,39.341177126462156,100,12.143290558354607,47.05882352941176,49.24994048340965,29
720575941512896099,IN01A020,1,power_control,True,0.23865110246433202,0.00307553278663376,16,520,0.79372253905591,1.4997794441993826,34.96627380516692,100,13.38552341547068,47.05882352941176,48.2480277013001,30
720575941447887636,IN12A052,3,power_control,True,0.25940337224383914,0.0036590017218646425,14,100,0.750231089501166,1.5432098765432098,38.19925664047709,100,13.198557396847487,41.17647058823529,47.99471045900206,31
720575941671138727,IN13A013,5,steering_control,True,0.2814526588845655,0.018959500694924872,15,438,0.983583131840198,2.591549295774648,50.57356655676616,75,19.776483634570432,44.11764705882353,47.68972028743717,32
720575941477553376,IN19B067,1,power_control,True,0.2723735408560311,0.0053105548468717935,14,212,0.5203387800862688,0.9306260575296108,41.003478943317255,100,8.546355041102581,41.17647058823529,47.67292656091788,33
720575941517770412,IN18B034,1,power_control,True,0.2723735408560311,0.005226923460014435,11,215,0.763862103114911,1.6172506738544474,40.95255424973225,100,13.638502063370748,32.35294117647059,47.165980026056474,34
720575941581685113,IN19B075,1,power_control,True,0.2736705577172503,0.0030786725723911407,12,273,0.6217358664418008,1.0388679921189323,39.82430078652458,100,9.893699395010513,35.294117647058826,46.47953861412177,35
720575941528944568,IN06A002,4,steering_control,True,0.09597924773022048,0.0013889310815535668,6,291,3.2700592537770294,11.492537313432836,14.155098264847853,75,78.26462608169723,17.647058823529413,46.09209776458455,36
720575941652536593,IN19B067,1,power_control,True,0.2490272373540856,0.003448446997807659,13,245,0.5841053989249486,1.0395010395010396,36.63219706559504,100,9.571196124604764,38.23529411764706,46.02951697435911,37
720575941576958197,IN12A052,3,power_control,True,0.23476005188067445,0.002851684260152814,11,75,0.8156935949061268,1.8867924528301887,34.29039996439636,100,15.259187250708164,32.35294117647059,45.572505037290064,38
720575941456348575,IN18B020,5,steering_control,True,0.23605706874189364,0.05459569823312303,6,191,0.8386220716895124,1.4925373134328357,65.97814032547456,75,13.742102754502131,17.647058823529413,45.508379550973785,39
720575941595757724,IN12A052,3,power_control,True,0.2438391699092088,0.003139211916774272,11,69,0.752799962897982,1.3888888888888888,35.72447366215747,100,12.549364846351311,32.35294117647059,45.32527154552919,40
720575941551389979,IN19B043,1,power_control,True,0.2464332036316472,0.003729800863711372,11,233,0.6398290541235206,1.2195121951219512,36.44380639237479,100,10.836006721976755,32.35294117647059,45.11273183350074,41
720575941623108298,IN13A013,5,steering_control,True,0.2477302204928664,0.011963942374704623,14,539,1.233829909962519,2.4133663366336635,41.63758310762863,75,21.164270054798216,41.17647058823529,44.7676365636352,42
720575941449835898,IN19B075,1,power_control,True,0.2619974059662776,0.0032296148558744048,9,179,0.7361569666515021,1.0802469135802468,38.29750729027847,100,11.062718765959508,26.47058823529412,44.54904952563224,43
720575941431075503,IN19B031,3,power_control,True,0.23865110246433202,0.0024469552228919373,11,70,0.6729560079064303,1.078167115902965,34.583521335898936,100,10.507395342004095,32.35294117647059,44.47249347156482,44
720575941489677001,IN11B013,3,power_control,True,0.15953307392996108,0.0006831712022392594,8,201,1.817990210582133,3.4254143646408837,22.53829770070616,100,30.61650229337117,23.52941176470588,44.12149723649581,45
720575941611080010,IN06A002,4,steering_control,True,0.09597924773022048,0.0013889310815535668,5,310,2.9213025780189956,10.606060606060606,14.155098264847853,75,71.39341242318588,14.705882352941178,43.78605905583906,46
720575941470536715,IN11B013,3,power_control,True,0.16601815823605706,0.0007457172006554526,10,132,1.2602813190029785,2.7777777777777777,23.47566368800322,100,22.978328148333716,29.411764705882355,43.66963408466086,47
720575941438440236,IN03B078,3,power_control,True,0.1815823605706874,0.01646283086574594,7,66,0.9791081195846126,1.6975308641975309,35.20437739692943,100,15.848243336707878,20.588235294117645,43.64102111207932,48
720575941729958699,IN06A033,5,steering_control,True,0.21141374837872892,0.029776498991734946,9,459,1.1327582770088371,2.3088023088023086,47.44800606476012,75,19.83574002697187,26.47058823529412,43.23745447322983,49
720575941435993888,IN12A052,3,power_control,True,0.22827496757457846,0.0020444843113535914,10,63,0.6031957617319843,0.9282178217821782,32.89960045560579,100,9.25204865139513,29.411764705882355,43.06524524070699,50
