dn_id,dn_name,in_id,mn_id,muscle,muscle_type,dn_in_synapses,in_mn_synapses,pathway_strength
720575941733034283,DNp19,720575941456348575,720575941645403000,DLM1,power,3,3,9
720575941733034283,DNp19,720575941456348575,720575941645403000,DLM1,power,3,4,12
720575941733034283,DNp19,720575941456348575,720575941456201887,hg1,steering,3,39,117
720575941733034283,DNp19,720575941456348575,720575941456201887,hg1,steering,3,3,9
720575941733034283,DNp19,720575941456348575,720575941456201887,hg1,steering,3,5,15
720575941733034283,DNp19,720575941456348575,720575941458961604,iii3,steering,3,20,60
720575941733034283,DNp19,720575941456348575,720575941459347411,iii4,steering,3,48,144
720575941733034283,DNp19,720575941456348575,720575941459347411,iii4,steering,3,13,39
720575941733034283,DNp19,720575941456348575,720575941463144336,DLM1,power,3,3,9
720575941733034283,DNp19,720575941456348575,720575941479034563,DLM1,power,3,3,9
720575941733034283,DNp19,720575941456348575,720575941483845954,hg3,steering,3,19,57
720575941733034283,DNp19,720575941456348575,720575941499558369,DVM3A,power,3,4,12
720575941733034283,DNp19,720575941456348575,720575941507955269,DLM1,power,3,3,9
720575941733034283,DNp19,720575941456348575,720575941519783640,DLM1,power,3,3,9
720575941733034283,DNp19,720575941456348575,720575941519783640,DLM1,power,3,6,18
720575941733034283,DNp19,720575941456348575,720575941521196211,b1,steering,3,3,9
720575941733034283,DNp19,720575941456348575,720575941534583786,DLM5,power,3,6,18
720575941733034283,DNp19,720575941456348575,720575941565378919,iii3,steering,3,7,21
720575941733034283,DNp19,720575941456348575,720575941565378919,iii3,steering,3,6,18
720575941733034283,DNp19,720575941456348575,720575941624155644,b2,steering,3,4,12
720575941733034283,DNp19,720575941456348575,720575941630940642,hg4,steering,3,61,183
720575941733034283,DNp19,720575941456348575,720575941630940642,hg4,steering,3,13,39
720575941733034283,DNp19,720575941456348575,720575941630940642,hg4,steering,3,8,24
720575941733034283,DNp19,720575941456348575,720575941640465439,DLM1,power,3,3,9
720575941733034283,DNp19,720575941456348575,720575941640465439,DLM1,power,3,3,9
720575941733034283,DNp19,720575941456348575,720575941640465439,DLM1,power,3,4,12
720575941733034283,DNp19,720575941456348575,720575941643100754,ps1,steering,3,7,21
720575941733034283,DNp19,720575941456348575,720575941643100754,ps1,steering,3,6,18
720575941733034283,DNp19,720575941456348575,720575941643100754,ps1,steering,3,4,12
720575941733034283,DNp19,720575941456348575,720575941645041313,ps1,steering,3,3,9
720575941733034283,DNp19,720575941456348575,720575941645041313,ps1,steering,3,4,12
720575941733034283,DNp19,720575941456348575,720575941645041313,ps1,steering,3,3,9
720575941733034283,DNp19,720575941456348575,720575941645403000,DLM1,power,3,3,9
720575941733034283,DNp19,720575941456348575,720575941645403000,DLM1,power,3,4,12
720575941733034283,DNp19,720575941457147206,720575941463144336,DLM1,power,5,4,20
720575941733034283,DNp19,720575941457147206,720575941468288375,hg3,steering,5,6,30
720575941733034283,DNp19,720575941457147206,720575941479034563,DLM1,power,5,4,20
720575941733034283,DNp19,720575941457147206,720575941513173763,hg4,steering,5,66,330
720575941733034283,DNp19,720575941457147206,720575941513173763,hg4,steering,5,19,95
720575941733034283,DNp19,720575941457147206,720575941513173763,hg4,steering,5,8,40
720575941733034283,DNp19,720575941457147206,720575941516770670,iii4,steering,5,32,160
720575941733034283,DNp19,720575941457147206,720575941516770670,iii4,steering,5,9,45
720575941733034283,DNp19,720575941457147206,720575941549822781,b1,steering,5,25,125
720575941733034283,DNp19,720575941457147206,720575941565378919,iii3,steering,5,18,90
720575941733034283,DNp19,720575941457147206,720575941580669817,hg1,steering,5,40,200
720575941733034283,DNp19,720575941457147206,720575941580669817,hg1,steering,5,5,25
720575941733034283,DNp19,720575941457147206,720575941580669817,hg1,steering,5,3,15
720575941733034283,DNp19,720575941457147206,720575941583644382,DLM1,power,5,5,25
720575941733034283,DNp19,720575941457147206,720575941583644382,DLM1,power,5,4,20
720575941733034283,DNp19,720575941457147206,720575941596050112,DLM5,power,5,4,20
720575941733034283,DNp19,720575941457147206,720575941643100754,ps1,steering,5,4,20
720575941733034283,DNp19,720575941457147206,720575941643100754,ps1,steering,5,15,75
720575941733034283,DNp19,720575941457147206,720575941645041313,ps1,steering,5,3,15
720575941733034283,DNp19,720575941457147206,720575941645041313,ps1,steering,5,4,20
720575941733034283,DNp19,720575941457147206,720575941655597785,b2,steering,5,3,15
720575941733034283,DNp19,720575941457147206,720575941463144336,DLM1,power,19,4,76
