dn_group,DLM1,DLM5,DVM1A,DVM2A,DVM3A,b1,b2,b3,hg1,hg2,hg3,hg4,i1,i2,iii1,iii3,iii4,ps1
DNpe004,8.030009307934378e-06,1.5714227347155567e-06,2.4455093662959334e-06,0.0,8.217391081049155e-07,0.0006123312894498799,0.00038221973744719385,0.0002932584632161758,0.0006246218905723269,8.697181358258954e-05,5.509376232687519e-05,0.0004434501166975906,0.00026177309900020374,0.00010484594797775348,0.0,2.0385547873532805e-05,0.0002496161869631626,2.7382561720643517e-05
DNpe005,0.003459404059225049,0.001977898020572964,0.0018063488341564713,0.001680999866692466,0.002700010812485231,0.0007155305215672605,0.0009495103304380186,0.001152847041637273,0.0015051564529781523,0.0029762689104035804,0.0022995342992896154,0.0006895485974437644,0.000793650148309105,0.0025228589433108546,0.00033638016269731325,0.000822769871429428,0.0011620989978097303,0.0049261125563828875
DNpe006,0.0,0.0,1.7233645959330433e-06,0.0,1.1688615288708796e-06,0.0,8.446541169756544e-05,5.295201107501902e-06,1.5610880825564431e-07,0.0,0.0,2.4036441381707233e-06,2.5141764875602017e-06,3.845758691566402e-05,7.921419518377694e-06,0.0,9.764094747303199e-06,0.0
DNpe008,0.0,0.0,0.0,0.0,0.0,0.00010784748459536626,8.970801429701567e-05,0.00023938236920225338,3.81574608162312e-05,0.0,0.00025464374782790733,0.00037856573254413,0.0,0.0,0.0,0.0,0.0002159471421863146,0.0
DNpe010,0.0007592978192291519,0.0009277918251163987,5.326367371136647e-05,0.0,3.534041926588311e-05,0.0,0.0,1.988683891486469e-06,1.8099623281582363e-05,5.901059299154791e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.739180970436343e-06
DNpe011,3.777393058026324e-06,4.344885583495055e-06,0.0,0.0,0.0,6.559269559741827e-06,8.265846882313005e-06,0.00013598824260205826,0.0001158096440037665,3.3313735244021676e-05,5.804723303351937e-06,3.314926358135973e-05,8.34101204556584e-05,3.6615499122689e-06,0.0,2.635398324397274e-05,5.383547730978148e-05,1.895264625423074e-07
DNpe012,7.012725125073851e-06,2.3889117452153038e-06,2.7962252642953132e-05,1.6575342401882383e-05,6.96500087062511e-06,9.18297738363856e-06,1.3065401636971229e-05,4.390813056887261e-05,0.00020328876979634934,6.480868082576684e-06,1.5237833591114612e-05,7.914054344044141e-05,8.886935268232726e-05,8.745853718017336e-06,0.0,3.941984490712381e-05,0.00010184124179767795,3.3445567858265946e-05
DNpe013,0.0,8.949959198715417e-06,5.085376201601748e-06,0.0,0.0,0.0,1.157939395274579e-05,7.824292269332077e-05,0.00020292445324124518,7.303808177555074e-05,6.320586942181105e-06,5.514139257662865e-05,2.7507227758798515e-05,5.247293096298243e-06,0.0,1.1314779943873663e-06,0.0001702060878692321,0.0
DNpe014,0.00022614067550733713,0.00011281623451648491,0.00013331687408945806,5.154714300726953e-05,0.00033487430044741183,1.7380100480154243e-05,3.2012378065009506e-05,7.178943357787509e-05,0.0008944949722230749,4.604871357718529e-05,0.000669322812546428,0.0005991128021238668,0.0001775401117476406,2.780841324689803e-05,2.645065300049595e-06,5.176024583354361e-05,0.0006404321690078401,0.00018476079734360692
DNpe016,2.8960013444868483e-05,1.4922777868612078e-05,0.0,0.0,0.0,2.0418395357290583e-05,1.1331911693502695e-05,3.0006139609177446e-05,1.913277655160671e-05,2.655827084901927e-05,6.914449817228044e-06,1.6957765108530684e-05,1.4247000096174477e-05,0.00011743447353745473,4.48880439374736e-05,1.5086373258498216e-06,3.372281125159779e-05,0.0
DNpe020,9.92602950045143e-05,0.0002937807183336612,0.0,0.0,4.442667377493447e-06,3.217885624084842e-05,4.780767328181442e-06,1.9232265493507578e-05,6.411712362171267e-06,2.8680623313528133e-06,2.4293461123417098e-06,2.2769497820699214e-06,1.1303465959160127e-06,3.408812878335021e-05,0.0006876257708380654,0.00017130695038451553,5.532375769817187e-06,1.062246300577578e-06
DNpe022,1.1663144375193546e-05,5.62106505371008e-06,5.850694293533679e-07,1.5358348670350965e-06,0.0,2.6984095574068648e-06,2.419392885613927e-06,0.0,5.958930624638001e-06,5.3896409726849305e-05,5.996503396164746e-05,8.149697568729116e-06,0.0,0.0,1.585493662195919e-05,0.0,4.588964530374997e-05,3.8123882956750636e-05
DNpe025,0.0,0.0,1.819182112120652e-05,9.416358411711438e-06,1.477143378487579e-05,0.0,0.0,7.719485476994244e-07,1.1096045931558914e-05,6.779283894707807e-05,0.0001062581509991899,1.4212358264498999e-05,1.4942036305086728e-05,1.5218408669557835e-05,2.8897423389010237e-05,7.232885907011126e-06,7.013792141544153e-05,3.1059642675721267e-07
DNpe028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.962988259716792e-05,0.0,0.0,0.0
DNpe031,0.000305954156057913,0.00015068363876925226,0.0003959273861188382,3.1238538326081216e-05,5.555330548824972e-05,8.784131337667856e-05,0.00010193749517189537,0.00011236607093636815,9.756472258467945e-05,0.00020692795285107677,0.0004326184575995133,0.00020507349854031627,0.00014836407344027806,0.0001661815674368465,0.00047686127985505967,3.771672750035561e-06,0.0002868707778918649,0.0004672851490081372
DNpe032,5.713604384645159e-05,3.19385003371482e-05,1.1038349987443877e-05,0.0,5.8489793531028846e-05,5.633923732769584e-06,1.5234301553377587e-05,0.00012804373026686314,4.318451795826414e-05,4.692314590763954e-05,1.3903796187935594e-05,4.404227749570975e-06,6.469187263178658e-05,4.0678852642530954e-05,1.3202365863962824e-05,0.0,2.5118336192399185e-05,7.652541511069715e-06
DNpe039,1.4827043783913167e-05,3.596520850136129e-05,1.3345321244760054e-06,0.0,0.0,3.116977989862428e-05,4.8532223793615464e-05,8.519635859165702e-05,5.261507430197767e-05,6.446076481773939e-05,1.984936337765884e-05,1.72688143199895e-05,3.3374890956705436e-05,5.422090408621748e-05,0.0004011653586456026,0.00017433896583488346,4.30614833919025e-05,8.217600146546785e-06
DNpe042,2.9748898239473037e-05,9.684933897984247e-05,1.148909730622029e-05,0.0,0.000104420425652955,9.789753391450282e-05,0.00022918031820078847,0.00032244588145220336,0.00017540265599078837,0.00023601934734859842,6.202991552567635e-05,0.00012890427669761068,3.985959703413149e-05,2.2651053254845392e-05,0.00044599542969428306,0.00013746839611644227,0.000515210826832744,5.2655400254482806e-05
DNpe045,0.0007065615842285651,0.0009128254762461392,0.00048571101225017077,0.00036936864248460525,0.0005263187994584428,0.0,0.0,2.129367347216414e-05,0.0,1.3128755083073924e-05,0.0009430816045091489,0.00023169475656623147,4.59030702762448e-05,6.380151320012521e-05,0.0002049985076170889,3.4076213723740724e-06,0.00015329292109369814,0.0006501696815305888
DNpe052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.936542905634064e-06,0.0,0.0,9.254604896562744e-06,3.89288204213514e-06,2.8380047536579625e-05,7.232885907011126e-06,3.768122313250289e-06,0.0
DNpe053,0.00037717887547030735,0.0004812217955882161,0.0011403187917204869,0.0021698796883207775,0.0017873600022755719,1.0288739442350323e-05,1.314322965953778e-06,7.060268143335869e-06,2.0622340061837688e-07,2.5477892642074688e-05,5.224971326423292e-06,2.510879054668763e-06,3.3522353167469353e-06,3.257361867012624e-05,0.00024478391889300546,5.3243654987985824e-05,9.936071317145486e-07,0.00020376720030642915
DNpe054,1.1632431622364424e-05,1.0014675089189377e-05,4.82853169661394e-05,1.3820506176038695e-05,2.465439816853042e-05,0.0002490742098871389,0.00033610869651073613,0.0010795939504946157,0.0002210369017975836,0.0001538750080507203,0.00023706685896085342,0.0003524558037583953,0.0002739883036884651,0.0001765729081606298,0.0,8.052652224245248e-05,0.00045929526960041597,1.9956031669132733e-05
DNpe055,0.0010579992901758165,0.0010507583406697996,0.0006187203983446592,0.0008594120862613751,0.0004923093152768048,0.00014858391722320525,0.0004354188633040903,0.00026627054435586153,0.0008425034699060295,0.001195754513933778,0.00035872884715432423,0.00020366522925893926,0.00013778652356100356,0.00020623070672276972,0.00028079767962981965,4.827368304679066e-05,0.00019940573632860407,0.00044857007224614903
DNut037,0.0002906301715939235,0.0002656761205489182,0.00012856304969326258,9.053591653542839e-05,1.7137068163681248e-05,0.0019070122202047865,0.0011138439912452302,0.0018622340619222919,0.0008684615283993557,0.00029970195532025,0.00017593017373889402,0.0004486652644092873,0.0014640907677234808,0.00039973515736636594,7.11836441526187e-06,0.0007309905095257763,0.00048688435725755333,0.00033839224379685247
DNut040,0.00044586514552376767,0.00044595431207015133,0.0007667588351142125,0.0003620017103088864,0.0006980998872956281,0.00043905785449908864,0.0010774813780536434,0.001017450787581469,0.0021166268512555577,0.007057846212653001,0.007557972541884688,0.0018183495580629684,0.001378149050925777,0.0015946986150694503,0.0002814758691698479,0.0031548213714408177,0.0015378429134991025,0.0009414104499621451
DNut042,0.00028200925835647977,0.0003528888444123333,2.4151893616874094e-05,0.0,1.2851061551230222e-05,0.0020650561795637562,0.0014689209010036654,0.0017814440680557213,0.0018945200436135603,0.00044678151939615997,0.00023658844327093152,0.0012044685525350173,0.0009886577752320858,0.00029040490962090667,1.3881537334746376e-05,0.0014717982415494602,0.0008337329653520949,5.286674995201993e-05
DNut043,0.00039741851428374566,0.00032763314716323415,0.00029591639636267274,0.0003403609020326499,0.0002512408450330092,3.9227559771982655e-05,8.928028863393466e-05,0.0002282020801687738,3.5314234359901014e-05,0.0003325319113987464,0.0003653766815748527,5.7199810229765976e-05,5.613044111910379e-05,0.0002449725543184484,1.256282679813057e-05,0.00029427854809714897,3.473513231960995e-05,0.0001885342429134991
DNut046,1.6304559509679627e-05,6.897577866263848e-07,4.789655165340538e-05,5.182689816014511e-06,0.0,2.2193278354383972e-05,0.00016980178931188955,0.000946036372393205,0.00023702364054153572,6.138877507515984e-05,3.8388502638722215e-05,0.000164375956089514,0.0002843753620718792,0.0003374812034847122,5.483095490320597e-06,0.000803645970062247,0.00018620406629979712,3.570824143459541e-06
DNut047,0.0012779209697205167,0.0009474252360371861,0.001208274262556082,0.0014049634652534854,0.0011783547295572316,0.0003412389715211869,0.00045243782405812635,0.0006862375354125496,0.00027863136232619373,0.0012559168643171085,0.0014338818617612016,0.0005156750499131133,0.0003169995415113341,0.0007915456093943912,0.0,0.00025827160355708275,0.00035342929674376947,0.0005141264549300034
DNut048,5.8383050091041734e-05,3.578611460807624e-05,1.8243870006370414e-05,0.0,4.382608576559549e-06,0.00011718448992425252,0.00011420596440430574,9.88584232182649e-05,0.0001638279950893807,2.276220120279479e-05,0.0001573569861181672,0.0003036685455226064,3.9812678241256226e-05,4.5184071861660373e-05,0.0,0.0003034485309199739,0.00020874138337665337,1.565215605024856e-05
DNut050,0.0005192387647203196,0.0003930208430761977,0.00046845675364074905,0.0005628527968728547,0.00048182657456396843,0.00017238337091407183,0.00043346950135387825,7.481337291889707e-05,0.00020157725139278982,0.0007927630005529283,0.000653452056496813,0.00038302468177136846,4.856259885602838e-05,0.00022841716004145596,1.5097932855703298e-05,0.00034172786806626156,0.0002702718486191955,0.00015341337944814345
DNut051,0.0011729915028355197,0.0008686562626377777,0.0010825878362712472,0.0012342018285843794,0.0012261746531284255,1.2060547861795249e-05,1.7965837969557088e-05,6.391708894035087e-05,0.00015513983161124777,0.0010123142118390433,0.0012259170050527158,0.00020749954312234635,6.345651413733263e-05,0.0010886764801804113,6.414283352620267e-05,5.882553465559524e-05,0.00014630973669835936,0.00013444116081515493
DNut053,0.0018847607116026326,0.0014024762631790438,0.0016329964990632155,0.001960740445059963,0.0016928156934893053,5.0270830560285835e-05,9.462159270767409e-05,0.00037306692606338615,0.000289450655095249,0.0005021691412919233,0.0009208072902636494,0.0007195810435414129,0.00019915256271117588,4.9561138324539074e-05,2.9004108785638996e-06,0.00023350803657779605,0.00021536011427366364,0.0007350135015916709
DNut054,3.848740168119517e-05,3.4520302407402696e-05,8.476778438804502e-05,2.764101235207739e-05,8.56561791468666e-06,0.0003917185514721416,0.0008439236868468228,0.0004749293279595669,0.0008290460300350097,0.00010456359481696522,0.00012570060745022043,0.0004461293633442964,0.0004277606639746499,0.00015317151517796866,6.773659087439474e-06,0.001259038312191674,0.00045844435698943597,0.00014668868923613316
DNut058,0.0002950872129735003,0.00023609326332988382,0.00028895976448585936,0.00029712586076488984,0.0002448732580177922,0.0007447563384315047,0.0012457464697044377,0.00026917503928001606,0.0008309005804314103,0.003549659263057827,0.0030101242026896167,0.0007017960552070031,0.00033598940893447816,0.0014710691750869304,8.33757289658398e-05,0.00029396368800403775,0.000755378568580945,0.00018113265944488168
DNut062,2.32154031550434e-05,9.870630073218658e-06,1.1614610725515508e-05,0.0,0.0,0.0002856249202509594,0.00015555054326636447,0.0005966823106716158,0.00029773091983020794,0.0003052872583502089,0.0012948248003118205,0.0011549399212119897,0.0002796516017582883,3.446990496727363e-05,3.841212577375777e-05,9.46939692000385e-05,0.0004436493276187902,2.86193820319073e-05
DNxl014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8261650729779116e-05,1.7187461360992057e-05,3.8265311799132615e-05,0.0,8.598922444775074e-07,1.9083718384738235e-05,0.0,3.186924354967056e-06,1.9004905573996486e-06
DNxl021,0.0,0.0,2.4610774130604974e-06,0.0,0.0,0.0,0.0,0.0,0.0,8.211434586890937e-06,2.4323212406042906e-05,1.6355947629310913e-05,0.0,0.0,4.057676288133207e-06,0.0,2.7492983561486912e-05,0.0
DNxl022,0.0,0.0,1.942955852416182e-07,0.0,0.0,5.1880611493913534e-05,2.8360938485361482e-05,1.3294533974513934e-06,3.0426579864178365e-05,9.467789265946518e-06,4.921624505099528e-06,3.0416803143294967e-05,0.0,1.5517247628062103e-05,0.0,6.518178324742071e-05,1.184947117837014e-05,0.0
DNxl049,2.4115873451135067e-06,1.2014946686023404e-06,2.5510167627552658e-05,0.0,2.823318255744607e-05,0.0,1.4808235947490227e-05,1.045689458912471e-06,1.9792191284259035e-05,7.733288376594356e-05,1.3378028394251163e-05,1.3010490115797022e-05,5.234255359877488e-06,2.9197062387607675e-06,8.070642332334926e-07,2.67531685784035e-05,8.600348606535991e-05,3.481553291232873e-05
DNxl056,0.0,0.0,4.495109321058688e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0490152369463166e-05,1.9628457599540583e-06,6.112004520166899e-07,9.054077417535678e-07,0.0,1.7382206073021193e-05,5.7719169305715354e-06
DNxl063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.447112712071687e-06,0.0,0.0,0.0
DNxl067,0.0,0.0,3.075024417486638e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5129994390134303e-06,0.0,1.2431356479709035e-05,3.870936196105702e-06,0.0,0.0,0.0,0.0
DNxl068,7.245018738922657e-05,9.640251708768864e-05,3.6232619212563735e-06,0.0,0.0,0.0,0.00013699736004907847,0.0,0.0,0.0,3.288252755446035e-05,1.910636396257789e-06,0.0,4.451405319322488e-06,3.831013973623469e-06,0.0,2.6868542292229847e-05,0.0003617493218343588
DNxl070,4.201643514877279e-07,0.0,4.495109321058688e-06,0.0,0.0,0.0,0.0,9.943419457432345e-07,9.049811640791181e-06,2.9505296495773955e-06,2.647749018273503e-06,0.0,1.9628457599540583e-06,6.112004520166899e-07,0.0,0.0,0.0,0.0
DNxl072,1.1008638894822681e-07,3.592666362008559e-07,0.0,0.0,0.0,6.036346856538839e-07,0.0,0.0,0.0,1.082287002310322e-06,3.825693508106728e-06,1.5762499314254015e-05,0.0,0.0,0.0,0.0,3.101552585531774e-06,3.401129560475428e-07
DNxl073,0.0,0.0,1.9805826905167132e-06,0.0,0.0,0.0,0.0,0.00010537163558075126,0.0,0.0,1.3616994951120873e-05,6.960677338006046e-06,5.391244730583397e-05,5.29061231715593e-06,0.0,0.0,2.309738075702215e-06,1.6756683815454256e-06
DNxl075,0.0,0.0,6.666648398428209e-06,1.8832716823422877e-06,2.9542867569751577e-06,0.0,0.0,0.0,0.0,2.2649601607102937e-05,2.375755340761315e-06,6.671435032090244e-06,0.0,0.0,1.0694449948940742e-06,0.0,5.722772499495913e-06,0.0
DNxl078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2080862041991868e-06,0.0
DNxl080,3.564064974620788e-05,3.3004658472024435e-05,0.00014493349674206795,1.232233884730043e-05,9.972340139536129e-05,1.8226974768001943e-05,0.00010669100183779028,1.4848099965914857e-05,0.00013399349159063848,0.00010338434564223688,0.0013222588120011224,0.0002912331370009863,4.558304025854799e-05,0.0005720413402785255,0.00044563414624961624,0.00012976071698899994,0.0006024984209993819,0.00042261132273462574
DNxl081,0.0,0.0,2.9027877129142953e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DNxl082,5.081541821974581e-07,5.696533363228741e-07,5.993479094744917e-06,1.6342777037308743e-06,0.0,7.656987383837121e-07,1.5858158231678143e-05,8.863022649675955e-07,3.103833413498059e-05,5.3406819827856064e-05,2.408388409725073e-05,3.648618896684246e-05,5.283007519922898e-06,2.4897706949285593e-05,2.3412513577649045e-05,0.0,2.3603446624323975e-05,7.766651903861886e-06
DNxl084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0810748061109443e-06,4.04392277840603e-06,3.079729457612262e-05,6.774366447701078e-06,0.0,0.0
DNxl086,2.618531511162718e-07,0.0,1.1454893127980634e-05,0.0,5.2786614822669964e-06,0.0,0.0,1.355571483520487e-06,0.0,1.992641459752201e-05,1.1279379385743119e-05,1.4361914571139837e-06,2.2194109683290057e-06,2.0318074620547864e-05,2.645065300049595e-06,1.8968226053563018e-06,1.7168137572282534e-06,5.272301379793553e-07
DNxl087,4.087491017230811e-07,5.696533363228741e-07,0.0,1.6342777037308743e-06,0.0,7.656987383837121e-07,3.1224354986335565e-05,0.0,1.1064120625124965e-05,3.496503065715502e-05,1.2888352050084588e-05,2.4067292282325474e-05,3.5507373540094613e-07,3.4397871001104173e-07,4.670565450978126e-06,0.0,9.788180800376833e-06,9.65129582323317e-07
DNxl091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2992590882245178e-06,0.0,0.0,1.3210791113397389e-06,0.0,0.0,0.0
DNxl092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.336677860740883e-06,4.482076891348871e-06,0.0,1.2283905626847705e-05,5.732614963183382e-07,0.0,0.0,2.548742425278718e-05,0.0
DNxl093,1.4962266615159746e-05,2.0649213708308477e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.968821898081096e-05
DNxl094,2.1180846729159846e-07,0.0,3.0834619136951344e-07,0.0,2.7884523218222536e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DNxl095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2694991585201453e-06,8.088519213603348e-06,0.0,2.5796767334325224e-06,0.0,0.0,0.0,0.0
DNxl096,0.0,0.0,0.0,0.0,0.0,0.0,1.1782046282234207e-06,0.0,0.0,1.9699868906894548e-05,0.0001205792400820095,5.464094409294615e-05,0.0,0.0,0.0,0.0,3.3287395716238215e-05,0.0
DNxl097,0.0,0.0,2.590607803221576e-06,0.0,0.0,0.0,0.0,0.0,0.0,1.5145783849217663e-06,2.873508903471089e-06,0.0,0.0,0.0,4.29636312861163e-06,0.0,0.0,0.0
