dn_group,muscle,indirect_fraction
DNxn163,hg3,0.0021566682442352215
DNp18,b1,0.002147901702981501
DNg99,ps1,0.002143798626844527
DNp54,hg2,0.002128429285140114
DNxn125,iii4,0.002123528426535862
DNp08,iii4,0.0021216714691536047
DNb04,ps1,0.0021211506182917655
DNg06,iii3,0.002117365904424866
DNut040,hg1,0.0021166268512555577
DNp22,iii4,0.0021162737861591054
DNxn181,iii3,0.002113933737947473
DNp48,DVM2A,0.0021000139744366763
DNb07,b2,0.0020972936546421847
DNb02,hg4,0.002094344085673029
DNge091,hg1,0.0020886236815408424
DNp48,DVM1A,0.0020873966261716493
DNp33,b3,0.0020871907442104555
DNp07,i2,0.0020808891985550446
DNg79,hg1,0.0020797022609396294
DNg07,b2,0.0020781693363689105
DNp07,hg3,0.002073916804643902
DNp53,hg1,0.0020726705006552846
DNxn163,iii4,0.0020673870819192795
DNp13,b1,0.0020654599985213662
DNut042,b1,0.0020650561795637562
DNxn183,ps1,0.002057921785074829
DNxn125,i2,0.002048916439279908
DNg41,hg3,0.0020484351896386463
DNb05,hg2,0.002038634198190512
DNa15,hg3,0.00203200827915266
DNg106,hg2,0.002024194838226319
DNxn140,DVM2A,0.0020171574310224897
DNae003,b2,0.002016092867180372
DNb04,i2,0.0019981798466729424
DNa05,b2,0.001997508501053417
DNge084,hg4,0.0019932102163846945
DNp06,iii1,0.0019905500066809967
DNg42,b1,0.0019790898816096536
DNpe005,DLM5,0.001977898020572964
DNg41,iii3,0.0019758011145710156
DNg82,iii3,0.0019753245292991463
DNp31,b2,0.0019689720458849593
DNg06,DVM1A,0.0019629536895811378
DNp19,hg4,0.001961788502409895
DNge084,iii4,0.0019610985170054906
DNut053,DVM2A,0.001960740445059963
DNp13,hg1,0.001959640906080172
DNp19,b3,0.0019585339526709674
DNp49,iii4,0.0019568784301855803
DNxl130,DVM2A,0.0019478593811623536
DNp18,b2,0.0019444958158532596
DNa10,DVM1A,0.001936869656814697
DNxn102,hg2,0.0019312719176358835
DNg02,hg4,0.001930430659193253
DNb07,b3,0.001928863502519177
DNxn163,i1,0.001920722901369358
DNxn102,hg1,0.0019175543898847585
DNg07,hg1,0.0019149558590148014
DNg91,hg1,0.0019125482302726462
DNg108,iii1,0.001912355464710702
DNut037,b1,0.0019070122202047865
DNut042,hg1,0.0018945200436135603
DNxn142,hg2,0.0018938506409626314
DNxn151,iii1,0.0018928527538284385
DNg79,iii3,0.0018926873196260289
DNa05,hg2,0.0018918038227287728
DNut053,DLM1,0.0018847607116026326
DNg110,DLM5,0.0018845977755318202
DNg08,b2,0.0018760011600148486
DNp54,DVM3A,0.0018726301767456159
DNp31,i1,0.0018715919926117358
DNp07,hg2,0.0018681774171325706
DNut037,b3,0.0018622340619222919
DNae002,b1,0.001858755982181466
DNg110,DLM1,0.0018224408943715048
DNxn183,hg3,0.001821935395505579
DNp18,hg1,0.0018208745858887148
DNut040,hg4,0.0018183495580629684
DNp31,hg4,0.0018178026681703178
DNp19,iii4,0.0018177307895159806
DNp03,ps1,0.001815244789405125
DNpe005,DVM1A,0.0018063488341564713
DNnt017,hg4,0.0018009872249397866
DNp28,b1,0.0017986857828531776
DNb02,hg2,0.0017974895095105201
DNp18,b3,0.0017923899148003049
