Root ID,Top in/out region,Community labels,Predicted NT type,Predicted NT confidence,Verified NT type,Verified Neuropeptide,Body Part,Function,Flow,Super Class,Class,Sub Class,Hemilineage,Nerve,Soma side,Primary Cell Type,Alternative Cell Type(s),Cable length (nm),Surface area (nm^2),Volume (nm^3),neuron_type
720575941641495634,WTCT,soma in VNC,GABA,0.99,gaba,,,,intrinsic,ventral_nerve_cord_intrinsic,,ventral_nerve_cord_ipsilateral_interconnecting,11B,,left,IN11B019,IN11B019,,,,IN
720575941641502546,T1_PRONM,"CNS neuron,soma in VNC",GLUT,0.91,glutamate,,,,intrinsic,ventral_nerve_cord_intrinsic,,ventral_nerve_cord_ipsilateral_restricted,08A,,left,IN08A036,IN08A036,,,,IN
720575941641506386,T3_METANM,soma in VNC,GLUT,0.8,glutamate,,,,intrinsic,ventral_nerve_cord_intrinsic,,ventral_nerve_cord_ipsilateral_restricted,08A,,right,IN08A045,IN08A045,,,,IN
720575941641522514,INTTCT,soma in VNC,GLUT,0.98,glutamate,,,proprioception,intrinsic,ventral_nerve_cord_intrinsic,,ventral_nerve_cord_ipsilateral_interconnecting,16B,,right,IN16B079,IN16B079,,,,IN
720575941641534565,T1_PRONM,soma in VNC,GABA,0.97,gaba,,,,intrinsic,ventral_nerve_cord_intrinsic,single_leg_neuromere,ventral_nerve_cord_ipsilateral_interconnecting,09A,,left,IN09A027,IN09A027,,,,IN
720575941641539941,T2_MESONM,soma in VNC,ACH,0.95,acetylcholine,,,,intrinsic,ventral_nerve_cord_intrinsic,,ventral_nerve_cord_ipsilateral_interconnecting,03A,,left,IN03A045,IN03A045,,,,IN
720575941641545554,T1_PRONM,soma in VNC,ACH,0.78,acetylcholine,,,,intrinsic,ventral_nerve_cord_intrinsic,,ventral_nerve_cord_ipsilateral_restricted,20A.22A,,right,IN20A.22A092,IN20A.22A092,,,,IN
720575941641548626,T2_MESONM.T1_PRONM,soma in VNC,ACH,0.93,acetylcholine,,,,intrinsic,ventral_nerve_cord_intrinsic,ventral_nerve_cord_serially_convergent,ventral_nerve_cord_bilateral_interconnecting,08B,,right,IN08B056,IN08B056,,,,IN
720575941641549394,ANM,soma in VNC,GABA,0.88,,,,,intrinsic,ventral_nerve_cord_intrinsic,,ventral_nerve_cord_bilateral_restricted,,,left,INXXX429,INXXX429,,,,IN
720575941641574994,HTCT.WTCT,soma in VNC,ACH,0.94,acetylcholine,,,,intrinsic,ventral_nerve_cord_intrinsic,,ventral_nerve_cord_bilateral_interconnecting,07B,,left,IN07B076,IN07B076,,,,IN
720575941641581650,HTCT.INTTCT,soma in VNC,GLUT,0.98,glutamate,,,proprioception,intrinsic,ventral_nerve_cord_intrinsic,,ventral_nerve_cord_ipsilateral_interconnecting,16B,,right,IN16B048,IN16B048,,,,IN
720575941641971794,T2_MESONM,soma in VNC,GLUT,0.95,,,,,intrinsic,ventral_nerve_cord_intrinsic,,ventral_nerve_cord_ipsilateral_restricted,21A,,right,IN21A058,IN21A058,,,,IN
720575941642157650,T1_PRONM,soma in VNC,GLUT,0.95,,,,,intrinsic,ventral_nerve_cord_intrinsic,single_leg_neuromere,ventral_nerve_cord_ipsilateral_restricted,21A,,left,IN21A028,IN21A028,,,,IN
