source,target,weight,neuropil,nt_type
720575941575681718,720575941456201887,123,VNC_WTct_L,
720575941575681718,720575941459347411,95,VNC_HTct_L,
720575941575681718,720575941459347411,157,VNC_WTct_L,
720575941575681718,720575941483845954,52,VNC_WTct_L,
720575941575681718,720575941624155644,99,VNC_WTct_L,
720575941575681718,720575941630940642,52,VNC_HTct_L,
720575941575681718,720575941630940642,75,VNC_WTct_L,
720575941581648479,720575941513173763,82,VNC_WTct_R,
720575941581685113,720575941596050112,58,VNC_WTct_R,
720575941583296902,720575941549822781,53,VNC_WTct_R,
720575941583296902,720575941655597785,50,VNC_WTct_R,
720575941583601886,720575941474574132,62,VNC_WTct_R,
720575941583601886,720575941475745898,51,VNC_WTct_R,
720575941588095300,720575941513173763,80,VNC_WTct_R,
720575941593615211,720575941580669817,54,VNC_WTct_R,
720575941594160421,720575941479034563,57,VNC_WTct_R,
720575941594160421,720575941533190337,51,VNC_WTct_R,
720575941594160421,720575941596050112,58,VNC_WTct_R,
720575941594870230,720575941629172716,70,VNC_WTct_R,
720575941596078961,720575941624155644,67,VNC_WTct_L,
720575941600370985,720575941459347411,63,VNC_WTct_L,
720575941602987510,720575941643100754,99,VNC_WTct_R,
720575941603749817,720575941645041313,68,VNC_WTct_L,
720575941605602669,720575941534583786,62,VNC_WTct_L,
720575941610056166,720575941516770670,55,VNC_WTct_R,
720575941610536924,720575941468288375,62,VNC_WTct_R,
720575941610536924,720575941516770670,79,VNC_WTct_R,
720575941610587612,720575941629172716,129,VNC_WTct_R,
720575941611080010,720575941565378919,231,VNC_HTct_L,
720575941611914669,720575941489673420,195,VNC_WTct_L,
720575941612027238,720575941459347411,68,VNC_WTct_L,
720575941612027238,720575941483845954,50,VNC_WTct_L,
720575941612053094,720575941580669817,57,VNC_HTct_R,
720575941613367260,720575941513173763,62,VNC_HTct_R,
720575941613367260,720575941513173763,66,VNC_WTct_R,
720575941613367260,720575941580669817,51,VNC_HTct_R,
720575941613367260,720575941580669817,54,VNC_WTct_R,
720575941613403100,720575941655597785,102,VNC_WTct_R,
720575941614850517,720575941468897856,100,VNC_HTct_R,
720575941614850517,720575941474574132,148,VNC_HTct_R,
720575941614919893,720575941533190337,54,VNC_WTct_R,
720575941614919893,720575941596050112,67,VNC_WTct_R,
720575941618008447,720575941533190337,53,VNC_WTct_R,
720575941623108298,720575941643100754,96,VNC_HTct_R,
720575941623108298,720575941643100754,182,VNC_WTct_R,
720575941623108298,720575941645041313,52,VNC_HTct_R,
720575941623972251,720575941624155644,60,VNC_WTct_L,
720575941625170314,720575941596050112,68,VNC_WTct_R,
720575941630302405,720575941624155644,56,VNC_WTct_L,
720575941630620576,720575941629172716,78,VNC_WTct_R,
720575941630748859,720575941655597785,58,VNC_WTct_R,
720575941631436780,720575941456201887,60,VNC_WTct_L,
720575941631436780,720575941459347411,65,VNC_WTct_L,
720575941631436780,720575941483845954,79,VNC_WTct_L,
720575941631436780,720575941630940642,96,VNC_WTct_L,
720575941632673516,720575941472734048,79,VNC_WTct_R,
720575941632673516,720575941487139138,57,VNC_WTct_R,
720575941632673516,720575941597489344,63,VNC_WTct_R,
720575941632673516,720575941603635190,90,VNC_WTct_R,
720575941636535413,720575941549822781,79,VNC_WTct_R,
720575941636535413,720575941655597785,67,VNC_WTct_R,
720575941637958687,720575941479034563,61,VNC_WTct_R,
720575941637958687,720575941533190337,57,VNC_WTct_R,
720575941642372040,720575941655597785,67,VNC_WTct_R,
720575941651851797,720575941655597785,67,VNC_WTct_R,
720575941654985945,720575941489673420,103,VNC_WTct_L,
720575941657510992,720575941624155644,81,VNC_WTct_L,
720575941665520371,720575941629172716,68,VNC_WTct_R,
720575941667146417,720575941655597785,61,VNC_WTct_R,
720575941669049587,720575941507955269,78,VNC_WTct_L,
720575941669049587,720575941519783640,66,VNC_WTct_L,
720575941669049587,720575941534583786,75,VNC_WTct_L,
720575941669049587,720575941565105206,51,VNC_WTct_L,
720575941669049587,720575941640465439,62,VNC_WTct_L,
720575941669049587,720575941645403000,72,VNC_WTct_L,
720575941670676135,720575941547394081,127,VNC_WTct_L,
720575941671138727,720575941645041313,64,VNC_HTct_L,
720575941671138727,720575941645041313,157,VNC_WTct_L,
720575941687911663,720575941624155644,63,VNC_WTct_L,
720575941688644470,720575941645041313,51,VNC_WTct_L,
720575941729958699,720575941459347411,144,VNC_WTct_L,
720575941729958699,720575941483845954,81,VNC_WTct_L,
720575941729958699,720575941630940642,120,VNC_WTct_L,
