Root ID,Top in/out region,Community labels,Predicted NT type,Predicted NT confidence,Verified NT type,Verified Neuropeptide,Body Part,Function,Flow,Super Class,Class,Sub Class,Hemilineage,Nerve,Soma side,Primary Cell Type,Alternative Cell Type(s),Cable length (nm),Surface area (nm^2),Volume (nm^3),neuron_type
720575941640075551,GNG,"CNS neuron,soma in brain",ACH,0.83,,,,,intrinsic,descending,descending_neuron,,putative_primary,,left,DNge062,DNge062,,,,DN
720575941640505375,GNG.T1_PRONM,"CNS neuron,soma in brain",ACH,0.96,,,,,intrinsic,descending,descending_neuron,,putative_primary,,right,DNge035,DNge035,,,,DN
720575941640775455,ICL.GNG,"CNS neuron,DNxn133,soma in brain",ACH,0.82,acetylcholine,,,,intrinsic,descending,descending_neuron,,DM6_central2,,left,DNxn133,"DNp101,DNxn133",,,,DN
720575941640840991,FLA.ANM,"CNS neuron,soma in brain",GLUT,0.44,,CCAP,,,intrinsic,descending,descending_neuron,,putative_primary,,right,DNg80,DNg80,,,,DN
720575941642868385,GNG.UNASSIGNED,"CNS neuron,soma in brain",ACH,0.9,,,,,intrinsic,descending,descending_neuron,,MX12,,right,DNg12,"DNg12,DNg12_e,MX12_R_37",,,,DN
720575941642906529,GNG,"CNS neuron,DNxl021,soma in brain",ACH,0.91,,,,,intrinsic,descending,descending_neuron,,putative_primary,,right,DNxl021,"DNge124,DNxl021",,,,DN
720575941642966629,SAD.HTCT,"CNS neuron,soma in brain",GABA,0.99,,,,,intrinsic,descending,descending_neuron,,LB7,,right,DNg07,DNg07,,,,DN
720575941643030945,IPS.HTCT,"CNS neuron,soma in brain",ACH,0.99,,,,,intrinsic,descending,descending_neuron,,LB12,,left,DNg92,"DNg92,DNg92_b",,,,DN
720575941643043272,GNG,soma in brain,GLUT,0.79,,,,,intrinsic,descending,descending_neuron,,MX7__prim,,left,DNg72,DNg72,,,,DN
720575941643577445,PLP.SAD,"CNS neuron,DNxn113,soma in brain",ACH,0.87,,,,,intrinsic,descending,descending_neuron,,DM6_central2,,right,DNxn113,"DNpe037,DNxn113",,,,DN
720575941644058706,SMP.ANM,"CNS neuron,oviDN,soma in brain",ACH,0.52,,,,,intrinsic,descending,descending_neuron,,SMPpv1,,right,oviDN,"DNpe044,oviDN,oviDNd",,,,DN
720575941644268626,GNG,"CNS neuron,soma in brain",ACH,0.65,,,,,intrinsic,descending,descending_neuron,,putative_primary,,left,DNg67,DNg67,,,,DN
