group_id,group_size,target_mn,groupwise_synapses,group_neurons
178.0,2.0,720575941468288375,116,"[7.205759414969494e+17, 7.20575941610537e+17]"
178.0,2.0,720575941516770670,149,"[7.205759414969494e+17, 7.20575941610537e+17]"
180.0,2.0,720575941468897856,136,"[7.205759414986963e+17, 7.20575941628691e+17]"
180.0,2.0,720575941475745898,99,"[7.205759414986963e+17, 7.20575941628691e+17]"
184.0,2.0,720575941489673420,217,"[7.205759414994205e+17, 7.205759414521987e+17]"
188.0,2.0,720575941507955269,82,"[7.205759415010263e+17, 7.205759415044246e+17]"
188.0,2.0,720575941519783640,72,"[7.205759415010263e+17, 7.205759415044246e+17]"
188.0,2.0,720575941534583786,116,"[7.205759415010263e+17, 7.205759415044246e+17]"
188.0,2.0,720575941640465439,66,"[7.205759415010263e+17, 7.205759415044246e+17]"
188.0,2.0,720575941645403000,65,"[7.205759415010263e+17, 7.205759415044246e+17]"
198.0,2.0,720575941468897856,58,"[7.205759415053695e+17, 7.205759415337807e+17]"
198.0,2.0,720575941475745898,70,"[7.205759415053695e+17, 7.205759415337807e+17]"
199.0,2.0,720575941643100754,148,"[7.205759415054579e+17, 7.205759416233537e+17]"
200.0,2.0,720575941534583786,81,"[7.20575941505493e+17, 7.205759416148168e+17]"
200.0,2.0,720575941645403000,71,"[7.20575941505493e+17, 7.205759416148168e+17]"
202.0,2.0,720575941468897856,97,"[7.20575941505819e+17, 7.205759416234397e+17]"
202.0,2.0,720575941475745898,105,"[7.20575941505819e+17, 7.205759416234397e+17]"
204.0,2.0,720575941507955269,51,"[7.205759415058874e+17, 7.205759415058894e+17]"
204.0,2.0,720575941534583786,87,"[7.205759415058874e+17, 7.205759415058894e+17]"
204.0,2.0,720575941596050112,54,"[7.205759415058874e+17, 7.205759415058894e+17]"
216.0,2.0,720575941468897856,53,"[7.20575941507787e+17, 7.20575941662449e+17]"
216.0,2.0,720575941474574132,54,"[7.20575941507787e+17, 7.20575941662449e+17]"
