source,target,weight,neuropil,nt_type,target_total_input,shrec_score
720575941447887636,720575941487139138,4,VNC_WTct_L,,905,0.44198895027624313
720575941447887636,720575941487139138,4,VNC_WTct_R,,905,0.44198895027624313
720575941447887636,720575941499558369,7,VNC_WTct_R,,929,0.7534983853606028
720575941447887636,720575941530190027,6,VNC_WTct_R,,680,0.8823529411764706
720575941447887636,720575941542328837,6,VNC_WTct_L,,481,1.2474012474012475
720575941447887636,720575941560383347,5,VNC_WTct_L,,1027,0.4868549172346641
720575941447887636,720575941565105206,9,VNC_WTct_L,,1775,0.5070422535211268
720575941447887636,720575941573368719,2,VNC_WTct_R,,371,0.5390835579514826
720575941447887636,720575941590220684,10,VNC_WTct_L,,648,1.5432098765432098
720575941447887636,720575941597489344,9,VNC_WTct_R,,1757,0.512236767216847
720575941447887636,720575941603635190,14,VNC_WTct_R,,2413,0.5801906340654787
720575941447887636,720575941614289683,6,VNC_WTct_L,,593,1.0118043844856661
720575941447887636,720575941624985226,6,VNC_WTct_R,,738,0.8130081300813009
720575941449065565,720575941590220684,3,VNC_WTct_L,,648,0.4629629629629629
720575941449258106,720575941459347411,37,VNC_WTct_L,,6237,0.5932339265672599
720575941449258106,720575941542328837,5,VNC_WTct_L,,481,1.0395010395010396
720575941449258106,720575941624155644,27,VNC_WTct_L,,5692,0.4743499648629656
720575941449258106,720575941645041313,34,VNC_HTct_L,,6617,0.51382801873961
720575941449617230,720575941573368719,4,VNC_WTct_R,,371,1.078167115902965
720575941449835898,720575941463144336,21,VNC_WTct_L,,4549,0.46163992086172784
720575941449835898,720575941487139138,8,VNC_WTct_R,,905,0.8839779005524863
720575941449835898,720575941519783640,25,VNC_WTct_L,,3546,0.7050197405527355
720575941449835898,720575941534583786,31,VNC_WTct_L,,5271,0.5881236956934168
720575941449835898,720575941542328837,4,VNC_WTct_L,,481,0.8316008316008316
720575941449835898,720575941565105206,9,VNC_WTct_L,,1775,0.5070422535211268
720575941449835898,720575941590220684,7,VNC_WTct_L,,648,1.0802469135802468
720575941449835898,720575941640465439,32,VNC_WTct_L,,4273,0.7488883688275216
720575941449835898,720575941645403000,42,VNC_WTct_L,,5129,0.8188730746734256
720575941449942877,720575941519783640,16,VNC_WTct_L,,3546,0.4512126339537508
720575941449942877,720575941565105206,9,VNC_WTct_L,,1775,0.5070422535211268
720575941449942877,720575941566847847,12,VNC_WTct_L,,1840,0.6521739130434783
720575941449942877,720575941590220684,5,VNC_WTct_L,,648,0.7716049382716049
720575941450477225,720575941547394081,31,VNC_WTct_L,,6992,0.44336384439359267
720575941450532174,720575941475745898,49,VNC_IntTct_R,,7388,0.6632376827287494
720575941450532174,720575941475745898,100,VNC_WTct_R,,7388,1.353546291283162
720575941450532174,720575941487139138,7,VNC_WTct_R,,905,0.7734806629834254
720575941450532174,720575941560383347,6,VNC_WTct_L,,1027,0.5842259006815969
720575941450532174,720575941603635190,24,VNC_WTct_R,,2413,0.9946125155408205
720575941450532174,720575941614289683,6,VNC_WTct_L,,593,1.0118043844856661
720575941450876794,720575941542412805,17,VNC_WTct_L,,4250,0.4
720575941452164915,720575941521196211,11,VNC_WTct_L,,2190,0.502283105022831
720575941452198707,720575941489673420,29,VNC_IntTct_L,,3793,0.7645663063538096
720575941452198707,720575941489673420,81,VNC_WTct_L,,3793,2.135512786712365
720575941452199475,720575941489673420,23,VNC_IntTct_L,,3793,0.6063801740047456
720575941452199475,720575941489673420,85,VNC_WTct_L,,3793,2.2409702082784073
720575941455932912,720575941458961604,19,VNC_WTct_R,,1340,1.4179104477611941
720575941456206495,720575941597489344,8,VNC_WTct_R,,1757,0.4553215708594195
720575941456206495,720575941603635190,19,VNC_WTct_R,,2413,0.7874015748031495
720575941456340895,720575941643100754,38,VNC_WTct_R,,8670,0.4382929642445213
720575941456348575,720575941456201887,39,VNC_HTct_L,,5339,0.730473871511519
720575941456348575,720575941458961604,20,VNC_HTct_R,,1340,1.4925373134328357
720575941456348575,720575941459347411,48,VNC_HTct_L,,6237,0.7696007696007696
720575941456348575,720575941483845954,19,VNC_HTct_L,,3549,0.5353620738236123
720575941456348575,720575941499558369,4,VNC_WTct_R,,929,0.4305705059203444
720575941456348575,720575941630940642,61,VNC_HTct_L,,5684,1.0731878958479943
720575941456667373,720575941468288375,48,VNC_WTct_R,,3743,1.2823938017632914
720575941456667373,720575941513173763,37,VNC_WTct_R,,5531,0.6689567890074127
720575941456667373,720575941516770670,24,VNC_WTct_R,,5918,0.4055424129773572
720575941456678893,720575941547394081,34,VNC_WTct_L,,6992,0.4862700228832952
720575941456678893,720575941614289683,7,VNC_WTct_L,,593,1.1804384485666104
720575941457073478,720575941513173763,23,VNC_WTct_R,,5531,0.4158380039775809
720575941457073478,720575941549822781,23,VNC_HTct_R,,4270,0.5386416861826698
720575941457073478,720575941549822781,23,VNC_WTct_R,,4270,0.5386416861826698
720575941457147206,720575941513173763,66,VNC_HTct_R,,5531,1.193274272283493
720575941457147206,720575941516770670,32,VNC_HTct_R,,5918,0.5407232173031429
720575941457147206,720575941549822781,25,VNC_HTct_R,,4270,0.5854800936768151
720575941457147206,720575941565378919,18,VNC_HTct_L,,2178,0.8264462809917356
720575941457147206,720575941580669817,40,VNC_HTct_R,,6173,0.6479831524380366
720575941457153094,720575941468897856,24,VNC_HTct_R,,5313,0.4517221908526256
720575941457153094,720575941468897856,42,VNC_WTct_R,,5313,0.7905138339920948
