source,target,weight,neuropil,nt_type,dn_name,in_name,in_rank,in_score,in_cluster,dn_specialization
720575941453030983,720575941572251144,11,VNC_HTct_L,,DNb07,720575941572251144,13,45.201551287463005,1,steering_control
720575941453030983,720575941572251144,17,VNC_IntTct_L,,DNb07,720575941572251144,13,45.201551287463005,1,steering_control
720575941453030983,720575941608991050,10,VNC_IntTct_R,,DNb07,720575941608991050,22,42.72906772882216,1,steering_control
720575941455714541,720575941579868917,10,VNC_IntTct_L,,DNb02,720575941579868917,37,37.05389094430501,4,steering_control
720575941455714541,720575941579868917,17,VNC_NTct_L,,DNb02,720575941579868917,37,37.05389094430501,4,steering_control
720575941459103391,720575941512896099,16,VNC_IntTct_R,,DNg79,720575941512896099,26,40.99180520034098,2,steering_control
720575941460902157,720575941553338778,20,VNC_IntTct_L,,DNg07,720575941553338778,50,36.05417732310315,5,steering_control
720575941467587606,720575941477166622,19,VNC_IntTct_L,,DNxn175,720575941477166622,28,39.98144562172689,5,steering_control
720575941470254400,720575941554049307,10,VNC_WTct_L,,DNa08,720575941554049307,10,45.74214772865674,2,power_control
720575941471238263,720575941408509867,20,VNC_IntTct_L,,DNxn102,720575941408509867,33,38.82719827061262,2,steering_control
720575941471238263,720575941473850720,50,VNC_IntTct_L,,DNxn102,720575941473850720,49,36.094129825843325,5,steering_control
720575941471238263,720575941572251144,12,VNC_IntTct_L,,DNxn102,720575941572251144,13,45.201551287463005,1,steering_control
720575941471808375,720575941473850720,13,VNC_IntTct_L,,DNxn125,720575941473850720,49,36.094129825843325,5,steering_control
720575941471808375,720575941532246762,24,VNC_IntTct_R,,DNxn125,720575941532246762,36,37.60221501644136,5,steering_control
720575941471808375,720575941553338778,23,VNC_HTct_L,,DNxn125,720575941553338778,50,36.05417732310315,5,steering_control
720575941471808375,720575941553338778,37,VNC_IntTct_L,,DNxn125,720575941553338778,50,36.05417732310315,5,steering_control
720575941471808375,720575941553338778,21,VNC_WTct_L,,DNxn125,720575941553338778,50,36.05417732310315,5,steering_control
720575941471955264,720575941553338778,10,VNC_WTct_L,,DNut040,720575941553338778,50,36.05417732310315,5,steering_control
720575941471955264,720575941572251144,15,VNC_HTct_L,,DNut040,720575941572251144,13,45.201551287463005,1,steering_control
720575941471955264,720575941611080010,13,VNC_HTct_L,,DNut040,720575941611080010,45,36.5042123371087,5,steering_control
720575941471955264,720575941623108298,11,VNC_WTct_R,,DNut040,720575941623108298,1,61.48917156774057,3,steering_control
720575941472160011,720575941557612915,23,VNC_HTct_R,,DNp73,720575941557612915,11,45.47062630877588,1,steering_control
720575941472160011,720575941608991050,21,VNC_HTct_R,,DNp73,720575941608991050,22,42.72906772882216,1,steering_control
720575941472160011,720575941608991050,31,VNC_IntTct_R,,DNp73,720575941608991050,22,42.72906772882216,1,steering_control
720575941474063968,720575941457802480,11,VNC_IntTct_L,,DNxn163,720575941457802480,6,48.06843106807939,2,power_control
720575941474063968,720575941457802480,62,VNC_LTct_L,,DNxn163,720575941457802480,6,48.06843106807939,2,power_control
720575941474063968,720575941474741819,19,VNC_IntTct_L,,DNxn163,720575941474741819,14,45.09030416514421,2,power_control
720575941474063968,720575941474741819,81,VNC_LTct_L,,DNxn163,720575941474741819,14,45.09030416514421,2,power_control
720575941476477492,720575941473850720,15,VNC_HTct_L,,DNxn122,720575941473850720,49,36.094129825843325,5,steering_control
720575941476477492,720575941473850720,29,VNC_IntTct_L,,DNxn122,720575941473850720,49,36.094129825843325,5,steering_control
720575941476477492,720575941477166622,23,VNC_IntTct_L,,DNxn122,720575941477166622,28,39.98144562172689,5,steering_control
720575941476477492,720575941572251144,20,VNC_HTct_L,,DNxn122,720575941572251144,13,45.201551287463005,1,steering_control
720575941476477492,720575941572251144,19,VNC_IntTct_L,,DNxn122,720575941572251144,13,45.201551287463005,1,steering_control
720575941476477492,720575941611080010,10,VNC_HTct_L,,DNxn122,720575941611080010,45,36.5042123371087,5,steering_control
720575941477013825,720575941611080010,31,VNC_HTct_L,,DNg04,720575941611080010,45,36.5042123371087,5,steering_control
720575941478585450,720575941457147206,20,VNC_HTct_L,,DNp22,720575941457147206,38,37.02653434949327,4,steering_control
720575941478585450,720575941457147206,33,VNC_IntTct_L,,DNp22,720575941457147206,38,37.02653434949327,4,steering_control
720575941478585450,720575941457147206,13,VNC_NTct_L,,DNp22,720575941457147206,38,37.02653434949327,4,steering_control
720575941478585450,720575941572251144,33,VNC_HTct_L,,DNp22,720575941572251144,13,45.201551287463005,1,steering_control
720575941478585450,720575941572251144,30,VNC_IntTct_L,,DNp22,720575941572251144,13,45.201551287463005,1,steering_control
720575941478585450,720575941579868917,11,VNC_IntTct_L,,DNp22,720575941579868917,37,37.05389094430501,4,steering_control
720575941481103523,720575941477166622,13,VNC_IntTct_L,,DNxn136,720575941477166622,28,39.98144562172689,5,steering_control
720575941481103523,720575941572251144,17,VNC_IntTct_L,,DNxn136,720575941572251144,13,45.201551287463005,1,steering_control
720575941482535366,720575941608991050,11,VNC_HTct_R,,DNg01,720575941608991050,22,42.72906772882216,1,steering_control
