dn_group,muscle,numerator_synapses,denominator_input,input_fraction
DNp18,b3,16,8553,0.0018706886472582718
DNge049,DVM1A,19,10428,0.001822017644802455
DNg91,i2,26,14380,0.0018080667593880389
DNg110,DLM1,64,35422,0.0018067867427022754
DNxn109,hg4,20,11215,0.0017833259028087382
DNpe005,hg3,13,7292,0.0017827756445419638
DNbe005,hg3,13,7292,0.0017827756445419638
DNg32,b2,23,12969,0.0017734597887269644
DNg51,b3,15,8553,0.00175377060680463
DNg99,i2,25,14380,0.0017385257301808068
DNp51,hg1,20,11512,0.0017373175816539264
DNg110,DVM1A,18,10428,0.0017261219792865361
DNp18,i1,18,10448,0.0017228177641653904
DNg82,i1,18,10448,0.0017228177641653904
DNg76,hg4,19,11215,0.0016941596076683013
DNxn168,hg2,6,3603,0.0016652789342214821
DNxn125,hg1,19,11512,0.00165045170257123
DNxn118,hg1,19,11512,0.00165045170257123
DNxn007,hg3,12,7292,0.0016456390565002743
DNp16,b3,14,8553,0.0016368525663509879
DNg10,b3,14,8553,0.0016368525663509879
DNge071,b3,14,8553,0.0016368525663509879
DNg27,DVM3A,5,3075,0.0016260162601626016
DNg17,DVM3A,5,3075,0.0016260162601626016
DNg04,b2,21,12969,0.0016192458940550544
DNge092,hg4,18,11215,0.0016049933125278646
DNp33,hg4,18,11215,0.0016049933125278646
DNp31,hg4,18,11215,0.0016049933125278646
DNa16,iii4,19,12155,0.0015631427396133278
DNp31,b2,20,12969,0.0015421389467190994
DNp03,DVM1A,16,10428,0.0015343306482546988
DNp48,DVM1A,16,10428,0.0015343306482546988
DNae002,i1,16,10448,0.0015313935681470138
DNp19,i1,16,10448,0.0015313935681470138
DNg108,iii1,12,7890,0.001520912547528517
DNb01,b3,13,8553,0.001519934525897346
DNpe010,hg3,11,7292,0.0015085024684585847
DNa08,hg3,11,7292,0.0015085024684585847
DNxn102,DLM1,53,35422,0.0014962452713003218
DNb05,hg1,17,11512,0.0014767199444058374
DNa07,b2,19,12969,0.0014650319993831445
DNg05,DLM1,50,35422,0.0014115521427361527
DNg71,b3,12,8553,0.0014030164854437039
DNxn136,b3,12,8553,0.0014030164854437039
DNp31,iii4,17,12155,0.0013986013986013986
DNge175,b1,9,6460,0.0013931888544891642
DNb06,b2,18,12969,0.0013879250520471894
DNbe007,hg2,5,3603,0.0013877324451845685
DNp02,i1,14,10448,0.001339969372128637
DNxn118,i1,14,10448,0.001339969372128637
DNge049,DVM2A,3,2270,0.0013215859030837004
untyped_720575941434874912,DVM2A,3,2270,0.0013215859030837004
DNg05,DVM2A,3,2270,0.0013215859030837004
DNut054,b2,17,12969,0.0013108181047112345
DNge015,ps1,20,15287,0.001308301170929548
DNp03,DVM3A,4,3075,0.0013008130081300813
DNg108,DVM3A,4,3075,0.0013008130081300813
DNa16,b3,11,8553,0.001286098444990062
DNp19,b3,11,8553,0.001286098444990062
DNa07,iii4,15,12155,0.0012340600575894694
DNxn142,b2,16,12969,0.0012337111573752794
DNxn142,hg1,14,11512,0.0012161223071577485
DNxn151,i2,17,14380,0.0011821974965229485
DNb05,ps1,18,15287,0.0011774710538365932
DNg06,ps1,18,15287,0.0011774710538365932
DNp26,b3,10,8553,0.00116918040453642
DNa02,hg4,13,11215,0.0011591618368256798
DNg02,hg4,13,11215,0.0011591618368256798
DNge071,hg4,13,11215,0.0011591618368256798
DNge175,b2,15,12969,0.0011566042100393246
DNut037,hg1,13,11512,0.001129256428075052
DNp73,i2,16,14380,0.0011126564673157164
DNp07,i2,16,14380,0.0011126564673157164
DNxn142,hg2,4,3603,0.0011101859561476548
DNb06,hg2,4,3603,0.0011101859561476548
DNa08,hg2,4,3603,0.0011101859561476548
DNut058,b1,7,6460,0.00108359133126935
DNge110,b2,14,12969,0.0010794972627033695
DNge038,DVM1A,11,10428,0.0010548523206751054
DNp72,b3,9,8553,0.001052262364082778
DNge048,iii1,8,7890,0.0010139416983523447
DNge090,b2,13,12969,0.0010023903153674146
DNb05,iii4,12,12155,0.0009872480460715754
DNpe045,DVM3A,3,3075,0.000975609756097561
DNxn102,DVM3A,3,3075,0.000975609756097561
DNg03,DVM3A,3,3075,0.000975609756097561
DNa04,hg3,7,7292,0.0009599561162918266
DNp31,hg3,7,7292,0.0009599561162918266
DNpe055,DVM1A,10,10428,0.0009589566551591868
DNut058,hg1,11,11512,0.0009555246699096595
DNg09,b3,8,8553,0.0009353443236291359
DNb03,b3,8,8553,0.0009353443236291359
DNa10,iii1,7,7890,0.0008871989860583017
DNg79,hg1,10,11512,0.0008686587908269632
DNa07,i1,9,10448,0.0008614088820826952
DNxn142,i1,9,10448,0.0008614088820826952
DNg32,iii3,3,3518,0.0008527572484366117
DNge118,iii3,3,3518,0.0008527572484366117
DNut062,iii3,3,3518,0.0008527572484366117
DNxn151,b2,11,12969,0.0008481764206955047
DNxn124,hg2,3,3603,0.0008326394671107411
DNpe001,hg2,3,3603,0.0008326394671107411
DNp15,hg2,3,3603,0.0008326394671107411
DNnt012,b3,7,8553,0.0008184262831754939
DNg06,hg4,9,11215,0.0008024966562639323
DNg91,ps1,12,15287,0.0007849807025577288
DNge095,b2,10,12969,0.0007710694733595497
DNpe005,DVM1A,8,10428,0.0007671653241273494
DNa09,i1,8,10448,0.0007656967840735069
DNg71,i1,8,10448,0.0007656967840735069
DNp11,iii1,6,7890,0.0007604562737642585
DNa02,iii4,9,12155,0.0007404360345536817
DNg01,DLM5,8,10854,0.0007370554634236226
DNg07,hg4,8,11215,0.0007133303611234953
DNg74,DLM1,25,35422,0.0007057760713680764
DNa02,b3,6,8553,0.0007015082427218519
DNg07,i2,10,14380,0.0006954102920723226
DNa10,hg1,8,11512,0.0006949270326615705
DNxn102,DVM1A,7,10428,0.0006712696586114307
DNg91,i1,7,10448,0.0006699846860643185
DNp57,i1,7,10448,0.0006699846860643185
DNg17,DLM1,23,35422,0.0006493139856586302
DNg50,DLM1,23,35422,0.0006493139856586302
DNb07,DLM1,23,35422,0.0006493139856586302
DNge038,DLM1,23,35422,0.0006493139856586302
DNb07,DLM5,7,10854,0.0006449235304956698
DNg17,DLM5,7,10854,0.0006449235304956698
DNg05,DLM5,7,10854,0.0006449235304956698
DNge110,i2,9,14380,0.0006258692628650904
DNg15,i2,9,14380,0.0006258692628650904
DNpe010,hg4,7,11215,0.0006241640659830584
DNg37,hg4,7,11215,0.0006241640659830584
DNg08,b2,8,12969,0.0006168555786876397
DNge154,b2,8,12969,0.0006168555786876397
DNge118,b2,8,12969,0.0006168555786876397
DNp03,hg1,7,11512,0.0006080611535788742
DNut047,hg1,7,11512,0.0006080611535788742
DNpe005,hg1,7,11512,0.0006080611535788742
DNge145,b3,5,8553,0.00058459020226821
DNg93,DVM1A,6,10428,0.0005753739930955121
DNg100,DVM1A,6,10428,0.0005753739930955121
DNa03,i1,6,10448,0.0005742725880551302
DNp10,i1,6,10448,0.0005742725880551302
aSP22,i1,6,10448,0.0005742725880551302
DNg110,DLM5,6,10854,0.000552791597567717
DNge175,DLM5,6,10854,0.000552791597567717
DNg02,hg3,4,7292,0.0005485463521667581
DNp63,hg3,4,7292,0.0005485463521667581
DNg92,hg3,4,7292,0.0005485463521667581
DNp18,hg3,4,7292,0.0005485463521667581
DNge016,b2,7,12969,0.0005397486313516847
DNge001,hg4,6,11215,0.0005349977708426215
DNpe013,hg4,6,11215,0.0005349977708426215
DNut058,hg4,6,11215,0.0005349977708426215
DNnt007,ps1,8,15287,0.0005233204683718192
DNg10,hg1,6,11512,0.0005211952744961779
DNge015,DLM1,18,35422,0.000508158771385015
DNxl119,iii1,4,7890,0.0005069708491761723
DNp60,iii1,4,7890,0.0005069708491761723
DNg74,iii1,4,7890,0.0005069708491761723
DNg35,iii4,6,12155,0.0004936240230357877
DNut040,iii4,6,12155,0.0004936240230357877
DNge090,i2,7,14380,0.0004867872044506259
DNge175,DLM1,17,35422,0.0004799277285302919
DNae003,i1,5,10448,0.0004785604900459418
DNa02,i1,5,10448,0.0004785604900459418
DNxn142,b1,3,6460,0.00046439628482972134
DNa04,b2,6,12969,0.0004626416840157298
DNp51,DLM5,5,10854,0.00046065966463976416
DNpe003,hg4,5,11215,0.00044583147570218456
DNpe010,hg1,5,11512,0.0004343293954134816
DNg41,hg1,5,11512,0.0004343293954134816
DNb06,hg1,5,11512,0.0004343293954134816
DNg93,DLM1,15,35422,0.0004234656428208458
DNut058,hg3,3,7292,0.00041140976412506856
DNp33,hg3,3,7292,0.00041140976412506856
DNg76,hg3,3,7292,0.00041140976412506856
DNp15,hg3,3,7292,0.00041140976412506856
DNpe055,DLM1,14,35422,0.00039523459996612274
DNxl119,ps1,6,15287,0.0003924903512788644
DNge032,b2,5,12969,0.00038553473667977484
DNxn117,i1,4,10448,0.00038284839203675346
DNp11,i1,4,10448,0.00038284839203675346
DNge014,DLM5,4,10854,0.0003685277317118113
DNge038,DLM5,4,10854,0.0003685277317118113
DNnt017,hg4,4,11215,0.00035666518056174767
DNae002,hg4,4,11215,0.00035666518056174767
DNg93,b3,3,8553,0.00035075412136092597
DNg99,b3,3,8553,0.00035075412136092597
DNxn142,i2,5,14380,0.0003477051460361613
DNp18,i2,5,14380,0.0003477051460361613
DNge154,i2,5,14380,0.0003477051460361613
DNut054,i2,5,14380,0.0003477051460361613
DNge110,hg1,4,11512,0.00034746351633078526
DNge071,hg1,4,11512,0.00034746351633078526
DNg108,DLM1,12,35422,0.0003387725142566766
DNg05,iii4,4,12155,0.00032908268202385847
DNxn125,iii4,4,12155,0.00032908268202385847
DNa12,iii4,4,12155,0.00032908268202385847
DNut040,ps1,5,15287,0.000327075292732387
DNg03,ps1,5,15287,0.000327075292732387
untyped_720575941434874912,DLM1,11,35422,0.0003105414714019536
DNut058,DLM1,11,35422,0.0003105414714019536
DNge048,b2,4,12969,0.00030842778934381986
DNut050,b2,4,12969,0.00030842778934381986
DNxl119,b2,4,12969,0.00030842778934381986
DNpe045,DVM1A,3,10428,0.00028768699654775604
DNg27,DVM1A,3,10428,0.00028768699654775604
DNg17,DVM1A,3,10428,0.00028768699654775604
DNg82,DVM1A,3,10428,0.00028768699654775604
DNg79,DVM1A,3,10428,0.00028768699654775604
DNg74,DVM1A,3,10428,0.00028768699654775604
DNxn113,DVM1A,3,10428,0.00028768699654775604
DNxn114,i1,3,10448,0.0002871362940275651
DNxn176,i1,3,10448,0.0002871362940275651
DNp51,i1,3,10448,0.0002871362940275651
DNa08,i2,4,14380,0.0002781641168289291
DNxn114,i2,4,14380,0.0002781641168289291
DNg82,i2,4,14380,0.0002781641168289291
DNg04,DLM5,3,10854,0.0002763957987838585
DNut058,DLM5,3,10854,0.0002763957987838585
DNge015,DLM5,3,10854,0.0002763957987838585
DNbe005,hg4,3,11215,0.0002674988854213107
DNb02,hg4,3,11215,0.0002674988854213107
DNg91,hg4,3,11215,0.0002674988854213107
