dn_group,muscle,numerator_synapses,denominator_output,output_fraction
DNa10,hg1,8,3162.0,0.002530044275774826
DNg79,hg1,10,4021.0,0.002486943546381497
DNg27,DVM3A,5,2049.0,0.002440214738897023
DNxl119,iii1,4,1642.0,0.00243605359317905
DNxl119,b2,4,1642.0,0.00243605359317905
DNg01,hg1,3,1238.0,0.0024232633279483036
DNg10,hg1,6,2498.0,0.0024019215372297837
DNb05,iii4,12,5058.0,0.002372479240806643
DNg17,DVM3A,5,2121.0,0.0023573785950023575
DNg04,DLM5,3,1323.0,0.0022675736961451248
DNa10,iii1,7,3162.0,0.002213788741302973
DNg41,hg4,3,1358.0,0.0022091310751104565
DNae003,i1,5,2264.0,0.002208480565371025
DNg02,hg4,13,5907.0,0.002200778737091586
DNa04,hg3,7,3294.0,0.0021250758955676987
DNg91,hg4,3,1459.0,0.00205620287868403
DNg91,iii4,3,1459.0,0.00205620287868403
DNb06,hg1,5,2449.0,0.002041649652919559
DNa02,iii4,9,4456.0,0.0020197486535008975
DNp28,i2,3,1494.0,0.002008032128514056
DNxn177,DLM1,3,1511.0,0.001985440105890139
DNg82,DVM1A,3,1511.0,0.001985440105890139
DNg05,iii4,4,2096.0,0.0019083969465648854
DNut040,iii4,6,3173.0,0.0018909549322407816
DNge048,b2,4,2169.0,0.0018441678192715537
DNxl119,DLM1,3,1642.0,0.0018270401948842874
DNa04,b2,6,3294.0,0.0018214936247723133
DNg15,i2,9,5005.0,0.0017982017982017982
DNg37,hg4,7,3899.0,0.0017953321364452424
DNge148,DLM1,3,1715.0,0.001749271137026239
DNg35,iii4,6,3480.0,0.0017241379310344827
DNg32,iii3,3,1757.0,0.001707455890722823
DNp15,hg3,3,1765.0,0.0016997167138810198
DNp15,hg2,3,1765.0,0.0016997167138810198
DNp15,hg1,3,1765.0,0.0016997167138810198
DNb02,hg4,3,1782.0,0.0016835016835016834
DNb06,hg2,4,2449.0,0.0016333197223356473
DNp11,iii1,6,3791.0,0.0015826958586125032
DNut040,ps1,5,3173.0,0.001575795776867318
DNg93,DLM1,15,9520.0,0.0015756302521008404
DNxn142,i2,5,3206.0,0.0015595757953836558
DNae002,hg4,4,2574.0,0.001554001554001554
DNg07,iii4,3,1940.0,0.0015463917525773195
DNg07,b2,3,1940.0,0.0015463917525773195
DNp31,hg3,7,4725.0,0.0014814814814814814
DNg27,ps1,3,2049.0,0.0014641288433382138
DNg27,DVM1A,3,2049.0,0.0014641288433382138
DNg05,DVM2A,3,2096.0,0.0014312977099236641
DNg17,DVM1A,3,2121.0,0.0014144271570014145
DNp33,DLM1,3,2152.0,0.0013940520446096654
DNp33,hg3,3,2152.0,0.0013940520446096654
DNb05,hg2,7,5058.0,0.001383946223803875
DNge048,ps1,3,2169.0,0.0013831258644536654
DNa02,b3,6,4456.0,0.0013464991023339318
DNxn125,iii4,4,3063.0,0.001305909239307868
DNxn102,DVM3A,3,2345.0,0.001279317697228145
DNxn142,hg2,4,3206.0,0.0012476606363069245
DNp18,hg2,7,5628.0,0.0012437810945273632
DNg74,DLM1,25,20161.0,0.00124001785625713
DNb06,ps1,3,2449.0,0.0012249897917517355
DNxn168,hg2,6,4902.0,0.0012239902080783353
DNb07,DLM5,7,5845.0,0.0011976047904191617
DNa02,i1,5,4456.0,0.0011220825852782765
DNg99,b3,3,2686.0,0.0011169024571854058
DNp11,i1,4,3791.0,0.0010551305724083356
DNg37,ps1,4,3899.0,0.0010259040779687098
DNp10,i1,6,5986.0,0.0010023387905111927
DNxn125,DLM1,3,3063.0,0.0009794319294809011
DNpe045,DVM1A,3,3070.0,0.000977198697068404
DNpe045,DVM3A,3,3070.0,0.000977198697068404
DNg93,DVM3A,9,9520.0,0.0009453781512605042
DNxn142,b1,3,3206.0,0.0009357454772301934
DNp18,i2,5,5628.0,0.0008884150675195451
DNge049,DLM1,4,4699.0,0.0008512449457331347
DNge049,ps1,4,4699.0,0.0008512449457331347
DNg108,iii1,12,15938.0,0.0007529175555276697
DNg108,DLM1,12,15938.0,0.0007529175555276697
DNg79,DVM1A,3,4021.0,0.0007460830639144492
DNg79,iii4,3,4021.0,0.0007460830639144492
DNp13,hg1,3,4191.0,0.0007158196134574087
DNxn124,hg2,3,4217.0,0.0007114062129475931
DNp18,hg3,4,5628.0,0.0007107320540156361
DNg02,hg3,4,5907.0,0.0006771626883358727
DNge049,DVM2A,3,4699.0,0.000638433709299851
DNg93,DVM1A,6,9520.0,0.0006302521008403362
DNg100,DVM1A,6,13369.0,0.00044879946144064627
DNg74,DVM3A,9,20161.0,0.0004464064282525668
DNg93,b3,3,9520.0,0.0003151260504201681
DNg108,DVM3A,4,15938.0,0.00025097251850922326
DNg74,iii1,4,20161.0,0.00019840285700114082
DNg74,DVM1A,3,20161.0,0.0001488021427508556
