interneuron_id,out_degree,degree_centrality,betweenness_centrality,n_mn_targets
720575941513242202,62,0.004227336777829967,0.0,9
720575941544696756,38,0.004227336777829967,0.0,9
720575941504381975,54,0.004227336777829967,0.0,9
720575941542469212,54,0.004227336777829967,0.0,9
720575941564059399,158,0.0037576326914044154,0.0,8
720575941532507480,104,0.0037576326914044154,0.0,8
720575941496146657,53,0.0037576326914044154,0.0,8
720575941554803620,29,0.0037576326914044154,0.0,8
720575941457431280,64,0.0037576326914044154,0.0,8
720575941592094422,113,0.0037576326914044154,0.0,8
720575941563872359,100,0.0037576326914044154,0.0,8
720575941456678893,83,0.0037576326914044154,0.0,8
720575941494021760,59,0.0037576326914044154,0.0,8
720575941428965368,45,0.0037576326914044154,0.0,8
720575941723242042,106,0.0037576326914044154,0.0,8
720575941459312966,112,0.0037576326914044154,0.0,8
720575941579072889,43,0.0037576326914044154,0.0,8
720575941456176799,47,0.0037576326914044154,0.0,8
720575941611343337,45,0.0037576326914044154,0.0,8
720575941533738986,86,0.0037576326914044154,0.0,8
720575941601266678,70,0.0037576326914044154,0.0,8
720575941492303998,41,0.0037576326914044154,0.0,8
720575941594213927,47,0.0037576326914044154,0.0,8
720575941430016905,54,0.0037576326914044154,0.0,8
720575941729950507,82,0.0037576326914044154,0.0,8
720575941547336253,43,0.0037576326914044154,0.0,8
720575941614889941,42,0.0037576326914044154,0.0,8
720575941553338778,163,0.0037576326914044154,0.0,8
720575941552643390,54,0.0037576326914044154,0.0,8
720575941501884610,57,0.0037576326914044154,0.0,8
720575941499447691,41,0.0037576326914044154,0.0,8
720575941468679947,55,0.0037576326914044154,0.0,8
720575941590898027,121,0.0037576326914044154,0.0,8
720575941468683997,142,0.0037576326914044154,0.0,8
720575941576014774,45,0.0037576326914044154,0.0,8
720575941629413356,56,0.0037576326914044154,0.0,8
720575941553506020,78,0.0037576326914044154,0.0,8
720575941524264985,58,0.0037576326914044154,0.0,8
720575941524196683,88,0.0037576326914044154,0.0,8
720575941685950326,34,0.0037576326914044154,0.0,8
720575941626235530,83,0.0037576326914044154,0.0,8
720575941530861699,101,0.0037576326914044154,0.0,8
720575941576941045,63,0.0037576326914044154,0.0,8
720575941475749994,32,0.0037576326914044154,0.0,8
720575941564553223,109,0.0037576326914044154,0.0,8
720575941468725259,41,0.0037576326914044154,0.0,8
720575941412443540,69,0.0037576326914044154,0.0,8
720575941413872924,60,0.0037576326914044154,0.0,8
720575941562339079,85,0.0037576326914044154,0.0,8
720575941572815247,61,0.0037576326914044154,0.0,8
720575941518439347,82,0.0037576326914044154,0.0,8
720575941494052992,74,0.0037576326914044154,0.0,8
720575941501903154,51,0.0037576326914044154,0.0,8
720575941438729919,72,0.0037576326914044154,0.0,8
720575941435581740,37,0.0037576326914044154,0.0,8
720575941481036797,56,0.0037576326914044154,0.0,8
720575941481061629,42,0.0037576326914044154,0.0,8
720575941604953453,37,0.0037576326914044154,0.0,8
720575941488755148,55,0.0037576326914044154,0.0,8
720575941535331338,101,0.0037576326914044154,0.0,8
720575941446990261,125,0.0037576326914044154,0.0,8
720575941650775313,71,0.0037576326914044154,0.0,8
720575941513177337,72,0.0037576326914044154,0.0,8
720575941571524872,113,0.0037576326914044154,0.0,8
720575941438710719,43,0.0037576326914044154,0.0,8
720575941432002574,40,0.0037576326914044154,0.0,8
720575941442313898,35,0.0037576326914044154,0.0,8
720575941569707422,51,0.0037576326914044154,0.0,8
720575941449942877,62,0.0037576326914044154,0.0,8
720575941586427972,59,0.0037576326914044154,0.0,8
720575941546687009,62,0.0037576326914044154,0.0,8
720575941569376250,105,0.0037576326914044154,0.0,8
720575941583588830,96,0.0037576326914044154,0.0,8
720575941490813872,55,0.0037576326914044154,0.0,8
720575941652652561,54,0.0037576326914044154,0.0,8
720575941653563153,29,0.0032879286049788633,0.0,7
720575941436750911,35,0.0032879286049788633,0.0,7
720575941410007663,48,0.0032879286049788633,0.0,7
720575941496949410,132,0.0032879286049788633,0.0,7
720575941496948297,43,0.0032879286049788633,0.0,7
720575941517717420,74,0.0032879286049788633,0.0,7
720575941496878498,72,0.0032879286049788633,0.0,7
720575941411765140,39,0.0032879286049788633,0.0,7
720575941461235088,64,0.0032879286049788633,0.0,7
720575941562066856,102,0.0032879286049788633,0.0,7
720575941729958699,380,0.0032879286049788633,0.0,7
720575941551357723,45,0.0032879286049788633,0.0,7
720575941531319427,46,0.0032879286049788633,0.0,7
720575941593615211,153,0.0032879286049788633,0.0,7
720575941459562128,47,0.0032879286049788633,0.0,7
720575941605016941,50,0.0032879286049788633,0.0,7
720575941524021860,38,0.0032879286049788633,0.0,7
720575941474725684,80,0.0032879286049788633,0.0,7
720575941390273796,31,0.0032879286049788633,0.0,7
720575941560427379,93,0.0032879286049788633,0.0,7
720575941623972251,39,0.0032879286049788633,0.0,7
720575941652323289,46,0.0032879286049788633,0.0,7
720575941542265093,47,0.0032879286049788633,0.0,7
720575941626286474,50,0.0032879286049788633,0.0,7
720575941720467514,34,0.0032879286049788633,0.0,7
720575941691313115,37,0.0032879286049788633,0.0,7
720575941470077047,157,0.0032879286049788633,0.0,7
720575941553425235,58,0.0032879286049788633,0.0,7
720575941467252189,71,0.0032879286049788633,0.0,7
720575941688644470,69,0.0032879286049788633,0.0,7
720575941625963419,72,0.0032879286049788633,0.0,7
720575941528086660,46,0.0032879286049788633,0.0,7
720575941498948425,29,0.0032879286049788633,0.0,7
720575941535907521,36,0.0032879286049788633,0.0,7
720575941438261845,66,0.0032879286049788633,0.0,7
720575941537796989,125,0.0032879286049788633,0.0,7
720575941464768790,31,0.0032879286049788633,0.0,7
720575941573489416,40,0.0032879286049788633,0.0,7
720575941621586172,47,0.0032879286049788633,0.0,7
720575941604967789,41,0.0032879286049788633,0.0,7
720575941602987510,88,0.0032879286049788633,0.0,7
720575941550948231,142,0.0032879286049788633,0.0,7
720575941492354174,38,0.0032879286049788633,0.0,7
720575941549290495,39,0.0032879286049788633,0.0,7
720575941581641311,57,0.0032879286049788633,0.0,7
720575941453962221,29,0.0032879286049788633,0.0,7
720575941568855540,115,0.0032879286049788633,0.0,7
720575941572153865,32,0.0032879286049788633,0.0,7
720575941663489404,42,0.0032879286049788633,0.0,7
720575941645100664,34,0.0032879286049788633,0.0,7
720575941449065565,31,0.0032879286049788633,0.0,7
720575941578793809,54,0.0032879286049788633,0.0,7
720575941572107017,49,0.0032879286049788633,0.0,7
720575941535419418,132,0.0032879286049788633,0.0,7
720575941452291123,26,0.0032879286049788633,0.0,7
720575941572094203,34,0.0032879286049788633,0.0,7
720575941668869363,67,0.0032879286049788633,0.0,7
