dn_name,1,2,3,4,5
DNg03,0,16225,4065,3408,1159
DNg04,5399,23870,6727,1430,48987
DNg05,6185,2524,5854,30830,7352
DNg06,12233,37500,6462,30227,1946
DNg07,16691,25972,29398,2674,6091
DNg08,15831,36513,9535,975,21893
DNg09,0,2594,204,0,0
DNg10,102,3896,240,756,0
DNg100,0,606,885,2750,1467
DNg105,127,593,4989,4073,784
DNg106,4735,22528,17489,0,4398
DNg108,14927,17834,2323,16753,10366
DNg109,0,79,52,194,725
DNg11,330,1471,3934,0,0
DNg110,0,11259,2619,28841,759
DNg111,0,8539,858,104,2913
DNg12,0,1727,1326,0,0
DNg13,0,277,85,456,15
DNg15,5638,22733,4426,8264,9434
DNg16,0,386,12,131,185
DNg17,1514,3558,9316,29740,4347
DNg18,1051,2550,476,0,0
DNg19,0,18,149,12,0
DNg20,0,500,0,606,16
DNg21,0,216,0,3373,6917
DNg22,0,18,0,0,30
DNg23,0,0,0,0,16
DNg24,0,0,710,0,12
DNg26,0,63,0,0,0
DNg27,1283,3355,31712,244100,4981
DNg29,0,222,516,243,0
DNg30,205,0,152,39,585
DNg31,0,510,0,93,48
DNg32,5699,19282,27093,2049,1093
DNg33,0,0,0,1263,0
DNg34,0,93,0,21,0
DNg35,0,1163,0,220,30
DNg36,1411,31062,166,12,108
DNg37,220,10292,714,1688,449
DNg38,12,763,0,76,1285
DNg39,0,731,0,39,378
DNg40,0,0,21,0,0
DNg41,233,14920,1863,3666,909
DNg42,7637,3086,18167,0,0
DNg43,0,12,59,1036,108
DNg44,1409,2525,0,588,2508
DNg45,4980,259,0,2755,378
DNg46,20,684,117,0,0
DNg48,280,32,0,0,48
DNg49,24,2655,231,0,0
DNg51,16655,2070,582,0,0
DNg53,70,159,321,900,0
DNg54,165,119,0,0,0
DNg55,0,2227,0,0,66
DNg56,3366,1750,465,0,0
DNg57,0,0,0,0,15
DNg59,0,3328,0,1068,952
DNg60,0,39,0,168,0
DNg62,0,0,729,9,0
DNg63,0,0,0,254,66
DNg64,0,0,0,15,18
DNg65,0,708,0,18,0
DNg68,15,1043,0,140,141
DNg69,0,0,0,0,12
DNg70,33,252,27,3273,89
DNg71,7934,43895,21976,0,1060
DNg72,2139,762,0,0,147
DNg73,0,3281,0,0,0
DNg74,12625,7087,718,7164,8020
DNg75,0,3377,545,1051,102
DNg78,0,1051,0,0,0
DNg79,406,16006,1126,44137,9010
DNg80,0,0,0,48,0
DNg82,20386,18761,1427,3717,3246
DNg84,0,49,552,0,59
DNg85,0,15,0,0,32
DNg87,126,157,138,0,513
DNg88,0,1055,0,321,66
DNg89,0,13307,225,0,0
DNg90,50,3208,12,39,256
DNg91,11278,39237,14073,0,1751
DNg92,1158,7930,3409,1277,65989
DNg93,2357,315,888,2721,1306
DNg94,8588,1699,1729,0,3728
DNg95,0,0,0,0,18
DNg96,0,688,0,180,60
DNg97,0,390,228,359,228
DNg98,65,4587,123,5891,6747
DNg99,34911,58395,16531,1010,121314
DNge003,0,0,360,99,0
DNge004,261,1855,126,0,185
DNge006,858,5196,270,836,9265
DNge007,0,751,0,48,9
DNge010,0,585,0,100,112
DNge014,4202,2462,937,0,0
DNge015,0,1984,360,0,0
DNge016,13687,4647,6822,15456,2595
DNge020,0,763,0,0,0
DNge023,0,57,0,12,0
DNge024,0,0,9,0,0
DNge025,0,0,12,0,0
DNge028,0,0,0,18,0
DNge032,0,2041,212,0,91
DNge034,0,30,0,0,0
DNge035,12,3515,0,3924,4028
DNge037,0,1043,160,96,959
DNge038,0,737,0,0,0
DNge044,50,0,0,0,0
DNge046,402,264,75,78,0
DNge048,364,96,141,3596,68
DNge049,1373,1638,2795,14128,2242
DNge050,25,254,330,1260,1566
DNge053,484,443,1685,4633,9898
DNge054,0,352,39,0,0
DNge056,0,171,9,0,0
DNge058,30,0,0,9,42
DNge059,0,157,0,32,141
DNge060,0,332,0,21,0
DNge062,0,0,0,0,51
DNge063,75,451,18,1597,84
DNge068,0,180,0,0,0
DNge069,0,12,0,0,0
DNge071,0,591,128,0,0
DNge073,0,1090,0,149,126
DNge074,0,0,0,0,24
DNge076,0,1392,48,141,0
DNge080,0,144,0,18,0
DNge081,440,308,0,0,0
DNge083,206,159,649,0,126
DNge084,5378,99558,3761,1908,758
DNge085,0,504,6362,0,0
DNge088,2846,3704,486,60,9
DNge089,78,1857,2039,0,0
DNge090,9674,14618,1526,57,0
DNge091,17523,30022,32120,0,1647
DNge092,866,980,1153,280,0
DNge093,6271,3202,488,414,0
DNge094,1089,60,2778,0,0
DNge095,1070,1686,964,0,624
DNge099,0,9,126,356,208
DNge102,801,150,567,0,0
DNge104,0,378,0,0,0
DNge109,126,1249,1818,0,133
DNge110,1578,534,5653,759,497
DNge111,0,536,112,0,0
DNge114,550,0,317,0,0
DNge115,156,902,0,0,0
DNge116,208,4168,52,0,0
DNge117,93,54,0,0,0
DNge118,935,5325,1189,168,441
DNge122,0,80,0,0,110
DNge127,0,0,0,312,0
DNge128,0,12,0,749,0
DNge129,0,301,0,1084,886
DNge131,968,93,0,0,701
DNge133,0,447,879,1618,583
DNge139,0,654,0,0,0
DNge140,2983,4266,716,293,9435
DNge142,101,187,0,44,0
DNge144,0,112,0,36,0
DNge145,462,4384,30,0,0
DNge148,0,360,0,10611,1787
DNge149,0,12,0,12,12
DNge150,0,0,0,0,429
DNge154,665,2043,2786,414,0
DNge175,8310,3121,6577,3699,6136
DNht001,111,630,0,0,0
DNit003,474,1062,2391,12,695
DNit005,1071,896,25,0,0
DNit007,369,4991,581,2120,2232
DNit013,0,0,588,0,0
DNnt007,0,207,0,0,0
DNnt008,0,18,1255,0,0
DNnt009,0,0,63,0,0
DNnt010,0,5243,0,0,0
DNnt011,0,3297,2837,0,0
DNnt012,45,2169,3848,0,0
DNnt013,0,854,363,0,0
DNnt015,0,10862,174,0,0
DNnt017,0,16789,102,0,0
DNnt018,0,178,0,0,0
DNnt019,0,128,0,0,0
DNnt020,364,5820,1136,0,0
DNp01,0,525,4110,11470,0
DNp02,1438,6026,9196,13498,22019
DNp03,9202,7930,11276,22915,20028
DNp04,2178,2676,1348,777,551
DNp05,12,6300,3105,58456,3544
DNp06,2431,11039,7196,13376,5130
DNp07,0,15565,12734,22214,17824
DNp08,7515,23396,905,1348,32429
DNp09,0,1023,96,12,192
DNp10,6572,35012,4364,15794,4092
DNp103,2488,1964,32462,1656,1937
DNp11,4102,7750,6681,29763,7578
DNp12,2486,21252,3757,0,3720
DNp13,14942,46477,297,2374,30444
DNp14,0,78,0,21,0
DNp15,2962,7583,183,725,12115
DNp16,2678,6374,5360,31,3852
DNp17,3863,10387,2709,69,2929
DNp18,34970,14642,19645,7483,40257
DNp19,34779,53960,29171,5396,6136
DNp20,0,545,0,0,0
DNp22,39389,71749,38799,502,3514
DNp23,0,1130,0,0,399
DNp26,18021,5405,18925,3164,21095
DNp27,0,528,0,0,0
DNp28,12696,28474,20997,1125,168
DNp31,11691,178888,30431,165766,62228
DNp32,0,2389,0,0,0
DNp33,13789,95082,16276,4930,13899
DNp34,0,1684,78,0,1012
DNp35,0,0,1402,543,0
DNp37,0,149,0,2820,4736
DNp38,0,1315,105,0,353
DNp41,1918,1182,1253,21,186
DNp42,2357,1507,1123,5182,37384
DNp43,4854,3131,1551,0,18283
DNp44,0,67,490,0,0
DNp45,1611,339,40734,286,39379
DNp46,0,183,0,213,0
DNp47,1352,1136,2303,19885,90444
DNp48,0,0,0,13149,797
DNp49,8217,7860,29846,9681,55805
DNp51,9749,7317,17986,743,5347
DNp53,15281,10940,1193,1465,966
DNp54,0,426,29929,4624,417
DNp55,52,93,618,39,2045
DNp56,0,33,27,0,0
DNp57,7978,4347,7147,70,7898
DNp59,229,7318,21884,41460,7820
DNp60,0,3056,0,5082,2239
DNp63,129,5612,4875,4468,101172
DNp64,0,0,438,36,366
DNp66,425,560,4098,216,459
DNp67,228,0,0,510,460
DNp68,888,0,0,42,817
DNp69,548,2817,10845,1405,6788
DNp70,0,475,2307,1718,634
DNp71,0,264,49,0,16
DNp72,2809,1064,610,1639,0
DNp73,24545,76381,8732,4805,747
DNpe001,129,706,782,905,1914
DNpe003,0,757,540,147,75
DNpe004,1956,5016,1140,15,216
DNpe005,3576,43742,2182,49751,4771
DNpe006,1528,99,120,0,0
DNpe008,243,1085,103,0,0
DNpe010,0,228,0,2150,0
DNpe011,300,345,2610,0,0
DNpe012,400,839,729,9,0
DNpe013,51,632,693,0,0
DNpe014,0,4995,930,247,10351
DNpe016,45,806,491,176,0
DNpe020,0,24,208,1920,32
DNpe022,0,166,0,0,330
DNpe025,0,607,975,300,0
DNpe031,500,1889,2877,4930,19638
DNpe032,0,48,2847,1257,0
DNpe039,0,72,490,0,2461
DNpe042,0,1850,4236,228,156
DNpe045,0,1805,657,5557,916
DNpe052,0,0,63,0,0
DNpe053,0,24,200,2721,438
DNpe054,3764,2004,2903,60,21
DNpe055,1965,9483,5330,21541,1278
DNut037,16128,5382,13907,1728,1179
DNut040,9700,23321,25312,2852,49614
DNut042,9265,15921,7204,496,8516
DNut043,1876,897,1415,3816,6356
DNut046,3575,513,4216,0,1872
DNut047,3587,2246,4623,25451,26179
DNut048,4860,6621,581,668,0
DNut050,5913,2848,110,13469,4047
DNut051,0,8504,8072,13928,1914
DNut053,1054,2898,3086,49204,1374
DNut054,3103,10496,3663,27,1254
DNut058,7594,11072,4684,2895,6896
DNut062,622,4397,9063,0,9
DNxl014,0,246,18,0,513
DNxl021,0,499,0,111,0
DNxl022,315,732,0,9,40
DNxl049,0,866,27,885,730
DNxl056,0,62,0,0,20
DNxl063,0,0,0,0,18
DNxl067,0,12,0,492,0
DNxl068,414,490,0,1359,1353
DNxl070,0,30,0,78,0
DNxl072,0,27,0,0,0
DNxl073,0,229,1086,64,24
DNxl075,0,311,0,24,48
DNxl078,0,45,0,0,0
DNxl080,1382,4064,6050,2978,7974
DNxl081,0,0,0,18,0
DNxl082,33,460,171,104,480
DNxl084,0,0,0,0,619
DNxl086,0,267,270,117,21
DNxl087,70,797,0,0,209
DNxl091,0,25,0,0,0
DNxl092,0,708,64,0,0
DNxl093,0,0,0,0,896
DNxl094,0,0,0,21,0
DNxl095,0,60,51,0,0
DNxl096,0,135,0,0,0
DNxl097,0,54,0,117,0
DNxl100,0,427,0,596,1932
DNxl101,0,1014,0,0,0
DNxl102,521,0,0,0,0
DNxl103,0,36,290,32,0
DNxl104,63,336,0,9,33
DNxl105,0,134,294,0,203
DNxl106,0,4827,177,92,7575
DNxl107,50,108,0,0,0
DNxl108,550,3218,148,189,405
DNxl111,0,1169,216,0,0
DNxl112,1704,285,314,0,2520
DNxl113,25,2052,332,39,976
DNxl114,0,637,0,0,141
DNxl115,594,60,615,0,164
DNxl117,0,2564,0,45,0
DNxl118,0,288,204,0,0
DNxl119,0,167,0,1482,12
DNxl120,0,1068,0,470,838
DNxl121,0,456,648,1332,553
DNxl123,0,383,12,448,122
DNxl124,0,24,0,156,126
DNxl125,235,375,0,0,547
DNxl127,117,802,100,3187,61
DNxl128,0,12,342,0,0
DNxl129,183,1233,88,48,150
DNxl130,1561,1186,2031,27719,2215
DNxl131,0,395,0,0,0
DNxl132,0,0,0,0,12
DNxl134,75,1597,0,2304,3238
DNxn007,1955,14886,13537,1061,9862
DNxn071,0,78,0,0,0
DNxn073,0,30,0,0,0
DNxn102,2410,16262,13894,39504,855
DNxn104,439,0,1405,0,0
DNxn105,27,0,225,0,0
DNxn106,2406,318,573,0,0
DNxn109,380,5131,2877,189,1152
DNxn110,0,315,285,0,285
DNxn111,387,848,0,0,0
DNxn112,636,1169,2319,0,930
DNxn113,78,30,3294,5932,201
DNxn114,1696,6742,3429,0,8140
DNxn115,0,0,406,0,0
DNxn116,0,977,9,0,0
DNxn117,9379,15091,9086,0,30
DNxn118,8891,36,6427,170,4431
DNxn119,0,1640,213,18,0
DNxn122,13503,10474,29139,1721,18102
DNxn124,2915,40434,57222,23998,322790
DNxn125,42329,16542,123575,390,3341
DNxn126,0,72,57,9,660
DNxn127,50,798,2170,0,852
DNxn128,0,208,0,0,12
DNxn130,164,0,0,0,0
DNxn131,104,260,156,0,1020
DNxn132,0,592,1199,7825,0
DNxn133,0,50,0,0,0
DNxn134,0,0,57,0,0
DNxn136,2264,1914,5726,72,261
DNxn139,0,0,140,0,0
DNxn140,0,0,0,3789,0
DNxn142,29122,13876,14952,3018,18274
DNxn143,0,0,4972,72,18
DNxn144,820,4829,406,0,0
DNxn145,42,21,36,0,0
DNxn146,126,4105,686,0,0
DNxn148,0,125,0,0,0
DNxn151,5368,31776,4765,7405,7405
DNxn152,260,2076,2249,0,6344
DNxn153,0,655,2070,270,4946
DNxn154,0,9,222,445,80
DNxn155,0,5119,6855,29124,35200
DNxn157,0,56,999,0,1185
DNxn159,0,1557,16584,3030,204
DNxn162,0,0,45,0,150
DNxn163,1079,16849,31790,65102,6173
DNxn165,0,210,906,0,0
DNxn167,0,84,0,0,0
DNxn168,567,1680,0,2300,1280
DNxn170,0,128,0,0,0
DNxn171,0,0,0,375,0
DNxn172,496,6961,81,0,450
DNxn173,264,150,3450,24,480
DNxn174,0,60,295,0,27
DNxn175,0,361,3183,0,0
DNxn176,4497,9708,1402,2836,1840
DNxn177,0,12,0,2013,587
DNxn178,219,152,186,0,535
DNxn179,2106,2354,2661,4472,7440
DNxn181,0,16284,709,48,7694
DNxn183,3576,3415,1946,7759,1644
DNxn187,200,3185,1310,4527,34240
DNxn189,0,742,132,0,0
MDN,0,90,0,156,184
SA_DMT_DMetaN_6,0,144,12,0,0
aSP22,0,4179,3507,3416,1618
pIP9,414,1111,0,750,396
