dn_id,dn_name,in_id,mn_id,muscle,muscle_type,dn_in_synapses,in_mn_synapses,pathway_strength
720575941638407199,DNa15,720575941505478690,720575941547315060,i1,steering,15,11,165
720575941638407199,DNa15,720575941505478690,720575941547315060,i1,steering,15,10,150
720575941638407199,DNa15,720575941505478690,720575941547315060,i1,steering,15,12,180
720575941638407199,DNa15,720575941505478690,720575941630940642,hg4,steering,15,11,165
720575941638407199,DNa15,720575941517764824,720575941468897856,i1,steering,12,15,180
720575941638407199,DNa15,720575941517764824,720575941468897856,i1,steering,12,16,192
720575941638407199,DNa15,720575941517764824,720575941468897856,i1,steering,12,23,276
720575941638407199,DNa15,720575941517764824,720575941474574132,b3,steering,12,15,180
720575941638407199,DNa15,720575941517764824,720575941474574132,b3,steering,12,23,276
720575941638407199,DNa15,720575941517764824,720575941580669817,hg1,steering,12,10,120
720575941638407199,DNa15,720575941517764824,720575941580669817,hg1,steering,12,10,120
720575941638407199,DNa15,720575941517764824,720575941580669817,hg1,steering,12,13,156
720575941638407199,DNa15,720575941520333047,720575941468897856,i1,steering,24,12,288
720575941638407199,DNa15,720575941520333047,720575941468897856,i1,steering,24,11,264
720575941638407199,DNa15,720575941520333047,720575941468897856,i1,steering,24,12,288
720575941638407199,DNa15,720575941520333047,720575941474574132,b3,steering,24,21,504
720575941638407199,DNa15,720575941520333047,720575941474574132,b3,steering,24,20,480
720575941638407199,DNa15,720575941520333047,720575941474574132,b3,steering,24,19,456
720575941638407199,DNa15,720575941520333047,720575941468897856,i1,steering,13,12,156
720575941638407199,DNa15,720575941520333047,720575941468897856,i1,steering,13,11,143
720575941638407199,DNa15,720575941520333047,720575941468897856,i1,steering,13,12,156
720575941638407199,DNa15,720575941520333047,720575941474574132,b3,steering,13,21,273
720575941638407199,DNa15,720575941520333047,720575941474574132,b3,steering,13,20,260
720575941638407199,DNa15,720575941520333047,720575941474574132,b3,steering,13,19,247
720575941638407199,DNa15,720575941523112439,720575941513173763,hg4,steering,15,27,405
720575941638407199,DNa15,720575941523112439,720575941513173763,hg4,steering,15,11,165
720575941638407199,DNa15,720575941523112439,720575941516770670,iii4,steering,15,14,210
720575941638407199,DNa15,720575941523112439,720575941580669817,hg1,steering,15,29,435
720575941638407199,DNa15,720575941523112439,720575941580669817,hg1,steering,15,17,255
720575941638407199,DNa15,720575941523112439,720575941513173763,hg4,steering,10,27,270
720575941638407199,DNa15,720575941523112439,720575941513173763,hg4,steering,10,11,110
720575941638407199,DNa15,720575941523112439,720575941516770670,iii4,steering,10,14,140
720575941638407199,DNa15,720575941523112439,720575941580669817,hg1,steering,10,29,290
720575941638407199,DNa15,720575941523112439,720575941580669817,hg1,steering,10,17,170
720575941638407199,DNa15,720575941550878087,720575941458961604,iii3,steering,10,55,550
720575941638407199,DNa15,720575941550878087,720575941458961604,iii3,steering,10,11,110
720575941638407199,DNa15,720575941572251144,720575941549822781,b1,steering,70,25,1750
720575941638407199,DNa15,720575941572251144,720575941655597785,b2,steering,70,16,1120
720575941638407199,DNa15,720575941572251144,720575941549822781,b1,steering,32,25,800
720575941638407199,DNa15,720575941572251144,720575941655597785,b2,steering,32,16,512
720575941638407199,DNa15,720575941579868917,720575941630940642,hg4,steering,18,46,828
720575941638407199,DNa15,720575941579868917,720575941630940642,hg4,steering,18,33,594
720575941638407199,DNa15,720575941579868917,720575941630940642,hg4,steering,18,46,828
720575941638407199,DNa15,720575941579868917,720575941630940642,hg4,steering,18,33,594
720575941638407199,DNa15,720575941601088441,720575941468897856,i1,steering,22,16,352
720575941638407199,DNa15,720575941601088441,720575941468897856,i1,steering,22,13,286
720575941638407199,DNa15,720575941601088441,720575941468897856,i1,steering,22,14,308
720575941638407199,DNa15,720575941601088441,720575941474574132,b3,steering,22,27,594
720575941638407199,DNa15,720575941601088441,720575941474574132,b3,steering,22,15,330
720575941638407199,DNa15,720575941601088441,720575941474574132,b3,steering,22,24,528
720575941638407199,DNa15,720575941601088441,720575941580669817,hg1,steering,22,10,220
720575941638407199,DNa15,720575941611080010,720575941458961604,iii3,steering,19,13,247
720575941638407199,DNa15,720575941611080010,720575941565378919,iii3,steering,19,231,4389
720575941638407199,DNa15,720575941611080010,720575941565378919,iii3,steering,19,11,209
720575941638407199,DNa15,720575941611080010,720575941565378919,iii3,steering,19,46,874
720575941638407199,DNa15,720575941630748859,720575941655597785,b2,steering,20,10,200
720575941638407199,DNa15,720575941630748859,720575941655597785,b2,steering,20,58,1160
720575941638407199,DNa15,720575941678358973,720575941458961604,iii3,steering,31,32,992
720575941638407199,DNa15,720575941678358973,720575941458961604,iii3,steering,31,14,434
720575941507568709,DNa16,720575941429556655,720575941456201887,hg1,steering,24,16,384
720575941507568709,DNa16,720575941429556655,720575941630940642,hg4,steering,24,57,1368
720575941507568709,DNa16,720575941429556655,720575941630940642,hg4,steering,24,10,240
720575941507568709,DNa16,720575941429556655,720575941630940642,hg4,steering,24,14,336
720575941507568709,DNa16,720575941429556655,720575941456201887,hg1,steering,93,16,1488
720575941507568709,DNa16,720575941429556655,720575941630940642,hg4,steering,93,57,5301
720575941507568709,DNa16,720575941429556655,720575941630940642,hg4,steering,93,10,930
720575941507568709,DNa16,720575941429556655,720575941630940642,hg4,steering,93,14,1302
720575941507568709,DNa16,720575941464768790,720575941456201887,hg1,steering,52,22,1144
720575941507568709,DNa16,720575941464768790,720575941459347411,iii4,steering,52,10,520
720575941507568709,DNa16,720575941464768790,720575941630940642,hg4,steering,52,30,1560
720575941507568709,DNa16,720575941464901398,720575941580669817,hg1,steering,13,10,130
720575941507568709,DNa16,720575941464901398,720575941596050112,DLM5,power,13,10,130
720575941507568709,DNa16,720575941464901398,720575941645403000,DLM1,power,13,13,169
720575941507568709,DNa16,720575941464901398,720575941732789547,hg2,steering,13,23,299
720575941507568709,DNa16,720575941496830370,720575941565378919,iii3,steering,75,58,4350
720575941507568709,DNa16,720575941496830370,720575941565378919,iii3,steering,75,15,1125
720575941507568709,DNa16,720575941501721138,720575941565378919,iii3,steering,84,51,4284
720575941507568709,DNa16,720575941501721138,720575941565378919,iii3,steering,84,20,1680
720575941507568709,DNa16,720575941528944568,720575941458961604,iii3,steering,51,154,7854
720575941507568709,DNa16,720575941528944568,720575941458961604,iii3,steering,51,53,2703
720575941507568709,DNa16,720575941528944568,720575941458961604,iii3,steering,51,11,561
720575941507568709,DNa16,720575941528944568,720575941565378919,iii3,steering,51,23,1173
720575941507568709,DNa16,720575941528944568,720575941565378919,iii3,steering,51,41,2091
720575941507568709,DNa16,720575941528944568,720575941458961604,iii3,steering,10,154,1540
720575941507568709,DNa16,720575941528944568,720575941458961604,iii3,steering,10,53,530
720575941507568709,DNa16,720575941528944568,720575941458961604,iii3,steering,10,11,110
720575941507568709,DNa16,720575941528944568,720575941565378919,iii3,steering,10,23,230
