dn_id,dn_name,strategy,direct_mn_targets,direct_synapses,indirect_in_targets,indirect_synapses,total_targets,total_synapses,direct_fraction
720575941611992493,DNxn007,both,1,18,3,35,4,53,0.33962264150943394
720575941513768780,DNge037,indirect_only,0,0,2,53,2,53,0.0
720575941513772179,DNxn117,indirect_only,0,0,3,53,3,53,0.0
720575941574984201,DNge148,direct_only,3,53,0,0,3,53,1.0
720575941504921906,DNp47,indirect_only,0,0,5,53,5,53,0.0
720575941558381860,DNxn183,indirect_only,0,0,4,51,4,51,0.0
720575941502628695,DNp15,indirect_only,0,0,4,51,4,51,0.0
720575941459103391,DNg79,indirect_only,0,0,4,51,4,51,0.0
720575941441226943,DNp53,indirect_only,0,0,3,50,3,50,0.0
720575941607693421,DNg111,indirect_only,0,0,3,50,3,50,0.0
720575941541726493,DNge091,indirect_only,0,0,4,50,4,50,0.0
720575941551414170,DNg07,indirect_only,0,0,3,49,3,49,0.0
720575941639763999,DNg51,indirect_only,0,0,3,49,3,49,0.0
720575941511473996,DNut054,both,1,12,3,37,4,49,0.24489795918367346
720575941609747430,DNge014,indirect_only,0,0,3,49,3,49,0.0
720575941564504832,DNfl025,indirect_only,0,0,1,49,1,49,0.0
720575941539226866,DNp63,both,2,21,2,27,4,48,0.4375
720575941580369489,DNg08,indirect_only,0,0,4,48,4,48,0.0
720575941411212715,DNg32,indirect_only,0,0,3,48,3,48,0.0
720575941498444155,DNg06,indirect_only,0,0,4,47,4,47,0.0
720575941546446697,DNg91,indirect_only,0,0,3,45,3,45,0.0
720575941400285475,DNnt020,indirect_only,0,0,1,45,1,45,0.0
720575941543684357,DNg94,indirect_only,0,0,3,45,3,45,0.0
720575941476250164,DNut062,indirect_only,0,0,3,45,3,45,0.0
720575941441633883,DNge049,both,1,11,3,34,4,45,0.24444444444444444
720575941481103523,DNxn136,indirect_only,0,0,3,44,3,44,0.0
720575941554694372,DNg36,indirect_only,0,0,2,44,2,44,0.0
720575941450378333,DNp103,indirect_only,0,0,2,44,2,44,0.0
720575941557388708,DNb03,indirect_only,0,0,3,44,3,44,0.0
720575941560434035,DNxn152,indirect_only,0,0,3,44,3,44,0.0
720575941412619631,DNxn153,indirect_only,0,0,3,43,3,43,0.0
720575941461674436,DNb06,indirect_only,0,0,2,43,2,43,0.0
720575941593683051,DNp10,indirect_only,0,0,2,43,2,43,0.0
720575941493998464,DNnt010,indirect_only,0,0,1,43,1,43,0.0
720575941602114494,DNnt015,indirect_only,0,0,2,43,2,43,0.0
720575941537710824,DNg98,indirect_only,0,0,3,43,3,43,0.0
720575941733143339,DNg94,indirect_only,0,0,2,43,2,43,0.0
720575941452165801,DNxn146,indirect_only,0,0,2,42,2,42,0.0
720575941554109668,DNg51,indirect_only,0,0,3,41,3,41,0.0
720575941562036743,DNut042,indirect_only,0,0,3,41,3,41,0.0
720575941504703938,DNb02,indirect_only,0,0,3,41,3,41,0.0
720575941562404008,DNge088,indirect_only,0,0,3,40,3,40,0.0
720575941595376677,DNxn143,indirect_only,0,0,2,40,2,40,0.0
720575941521340087,DNp51,indirect_only,0,0,3,40,3,40,0.0
720575941513811532,DNxn173,indirect_only,0,0,1,39,1,39,0.0
720575941530295013,DNg49,indirect_only,0,0,2,39,2,39,0.0
720575941652085745,DNxn143,indirect_only,0,0,2,39,2,39,0.0
720575941691021720,DNg89,indirect_only,0,0,1,39,1,39,0.0
720575941537820658,DNge095,indirect_only,0,0,2,38,2,38,0.0
720575941562192429,DNge090,indirect_only,0,0,2,38,2,38,0.0
720575941490416181,DNg93,direct_only,3,38,0,0,3,38,1.0
720575941515630947,DNp12,indirect_only,0,0,3,37,3,37,0.0
720575941430607753,DNg111,indirect_only,0,0,3,36,3,36,0.0
720575941582282873,DNg08,indirect_only,0,0,2,35,2,35,0.0
720575941572620446,DNb03,indirect_only,0,0,2,35,2,35,0.0
720575941482535366,DNg01,indirect_only,0,0,3,34,3,34,0.0
720575941700293082,DNg06,indirect_only,0,0,3,34,3,34,0.0
720575941668513011,DNp11,indirect_only,0,0,1,33,1,33,0.0
720575941537850600,DNp54,indirect_only,0,0,3,33,3,33,0.0
720575941571871241,DNge091,indirect_only,0,0,2,33,2,33,0.0
720575941581684601,DNa06,indirect_only,0,0,2,33,2,33,0.0
720575941653831185,DNxl092,indirect_only,0,0,1,33,1,33,0.0
720575941550687805,DNge050,indirect_only,0,0,1,33,1,33,0.0
720575941441162191,DNg36,indirect_only,0,0,1,33,1,33,0.0
720575941537583336,DNp54,both,1,10,2,22,3,32,0.3125
720575941526955266,DNge006,indirect_only,0,0,3,32,3,32,0.0
720575941487149378,DNp42,indirect_only,0,0,2,32,2,32,0.0
720575941523074295,DNp16,indirect_only,0,0,2,32,2,32,0.0
720575941640505375,DNge035,indirect_only,0,0,2,32,2,32,0.0
720575941467587606,DNxn175,indirect_only,0,0,2,32,2,32,0.0
720575941470033117,DNbe003,indirect_only,0,0,1,32,1,32,0.0
720575941528320952,DNg88,both,1,13,1,18,2,31,0.41935483870967744
